ligand_id	receptor	score
00260564644f5bcf	kcnq2/7CR0	-6.0
0033aff15c9bf575	kcnq2/7CR0	-6.8
0084c5ebb5a94917	kcnq2/7CR0	-4.5
0089f4c5f7a1fcc8	kcnq2/7CR0	-6.1
00a766ca3d0a1d4f	kcnq2/7CR0	-6.3
00bcd1f6f33a3c91	kcnq2/7CR0	-5.2
00d409eb62d7397a	kcnq2/7CR0	-6.7
00e44cb45f8ab601	kcnq2/7CR0	-5.8
00f7f8ba0ac7b0e5	kcnq2/7CR0	-5.0
00f962744cc45b8c	kcnq2/7CR0	-6.5
016d9f2838af66c0	kcnq2/7CR0	-5.6
01799c36f36d1260	kcnq2/7CR0	-4.9
019b2756734548c9	kcnq2/7CR0	-6.0
01a753fbb00d02a3	kcnq2/7CR0	-5.6
01d8df21052864ee	kcnq2/7CR0	-5.8
01f467ad6efb4242	kcnq2/7CR0	-6.1
020d1677f4a0e404	kcnq2/7CR0	-6.3
022a9696b3553793	kcnq2/7CR0	-6.6
02377138fc67f06c	kcnq2/7CR0	-5.8
023d2140e1dfcdf1	kcnq2/7CR0	-5.8
025338af0330fcdb	kcnq2/7CR0	-6.1
02a5c4781f18d068	kcnq2/7CR0	-6.0
02bfabd367f5b752	kcnq2/7CR0	-5.3
02c7e950e749bec2	kcnq2/7CR0	-6.5
02ce6daeec10a007	kcnq2/7CR0	-6.0
02e7ebe0c24f9dc6	kcnq2/7CR0	-6.9
02e911f238bbbaf3	kcnq2/7CR0	-5.5
03199c0ec5c71096	kcnq2/7CR0	-6.1
03228f6b63cebc48	kcnq2/7CR0	-7.0
033a79e1148ad737	kcnq2/7CR0	-5.9
0341d0078a551616	kcnq2/7CR0	-5.8
035652eae224236d	kcnq2/7CR0	-6.9
037bb07cff599b64	kcnq2/7CR0	-6.1
03930b0547432b9b	kcnq2/7CR0	-4.8
03a712dfc2a6d590	kcnq2/7CR0	-5.2
03db68cdea4b8518	kcnq2/7CR0	-5.3
03e0e7187a83fe68	kcnq2/7CR0	-4.7
03e5902e6ff9f5f8	kcnq2/7CR0	-6.1
03efb8fe14a93115	kcnq2/7CR0	-6.3
042776d8ac23034a	kcnq2/7CR0	-6.0
043a865e46b0b237	kcnq2/7CR0	-7.2
0446ee22aa2bf192	kcnq2/7CR0	-4.5
047ce31242b948b7	kcnq2/7CR0	-5.7
04958b6a60d371fe	kcnq2/7CR0	-5.7
049feaff3d829959	kcnq2/7CR0	-7.0
04ad6e6bb18f4284	kcnq2/7CR0	-5.1
04bd6ddbcd4703a4	kcnq2/7CR0	-5.7
04dd1777ad1b07a7	kcnq2/7CR0	-5.2
0582f7afcf4e13ea	kcnq2/7CR0	-4.7
058fcb4401d5445a	kcnq2/7CR0	-6.5
05909260126938e3	kcnq2/7CR0	-6.4
05a89be934cc0f7b	kcnq2/7CR0	-6.2
05da9efafe95a7a8	kcnq2/7CR0	-5.8
05f8b7f4e8f243ba	kcnq2/7CR0	-6.3
05fcb2e613c6bad0	kcnq2/7CR0	-5.3
0652fb35dfb31d1a	kcnq2/7CR0	-5.4
067e5a225b8c5ed5	kcnq2/7CR0	-4.7
069706b5ac751dc2	kcnq2/7CR0	-6.0
06dafb79de29b739	kcnq2/7CR0	-6.0
06db0aafe454a74d	kcnq2/7CR0	-4.6
06e7fb4dd821a43c	kcnq2/7CR0	-6.2
06f2e360cb14791a	kcnq2/7CR0	-5.7
06fc7e30bf8d971c	kcnq2/7CR0	-6.4
0703bdf7f08eae61	kcnq2/7CR0	-5.8
0709fc0891b60665	kcnq2/7CR0	-6.9
07173992d00d095b	kcnq2/7CR0	-5.5
071b1f5a562e91bc	kcnq2/7CR0	-6.5
0747563320a8d401	kcnq2/7CR0	-6.0
076f990333cad32c	kcnq2/7CR0	-5.8
07903fbd98b23ee1	kcnq2/7CR0	-5.2
