inchikey	target_gene	target_chembl_id	acc	pchembl	ligand_ready
LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD2	CHEMBL217	P14416	9.92	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD3	CHEMBL234	P35462	9.16	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD4	CHEMBL219	P21917	9.13	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD2	CHEMBL2096905	P14416	8.3	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA1A	CHEMBL2094251	P35348	8.24	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD1	CHEMBL2056	P21728	8.21	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	KCNH2	CHEMBL240	Q12809	8.0	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	HTR2B	CHEMBL2095200	P41595	7.8	True
JCCNYMKQOSZNPW-UHFFFAOYSA-N	HRH1	CHEMBL231	P35367	7.7	True
YLEARPUNMCCKMP-DOFZRALJSA-N	GPR18	CHEMBL2384898	Q14330	7.7	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	HTR2A	CHEMBL224	P28223	7.68	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD5	CHEMBL1850	P21918	7.42	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	KCNH2	CHEMBL240	Q12809	7.4	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA1D	CHEMBL223	P25100	7.39	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	DRD2	CHEMBL217	P14416	7.37	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	HTR2A	CHEMBL224	P28223	7.23	True
VNFPBHJOKIVQEB-UHFFFAOYSA-N	KCNN4	CHEMBL4305	O15554	7.16	True
KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHRM2	CHEMBL211	P08172	7.11	True
KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHRM4	CHEMBL1821	P08173	7.05	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	DRD3	CHEMBL234	P35462	7.0	True
MJIHNNLFOKEZEW-UHFFFAOYSA-N	TSHR	CHEMBL1963	P16473	6.9	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	HTR2B	CHEMBL1833	P41595	6.82	True
JCCNYMKQOSZNPW-UHFFFAOYSA-N	HTR2B	CHEMBL1833	P41595	6.81	True
JCCNYMKQOSZNPW-UHFFFAOYSA-N	KCNH2	CHEMBL240	Q12809	6.77	True
KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHRM1	CHEMBL216	P11229	6.74	True
NKANXQFJJICGDU-QPLCGJKRSA-N	HTR2C	CHEMBL225	P28335	6.62	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA2C	CHEMBL1916	P18825	6.57	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	HTR7	CHEMBL3155	P34969	6.5	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	HRH1	CHEMBL231	P35367	6.49	True
NKANXQFJJICGDU-QPLCGJKRSA-N	DRD3	CHEMBL234	P35462	6.44	True
NIOHELZQFBGCEO-UHFFFAOYSA-N	SCNN1A	CHEMBL1791	P37088	6.4	True
SVJMLYUFVDMUHP-UHFFFAOYSA-N	KCNK2	CHEMBL2321615	O95069	6.37	True
VCCRNZQBSJXYJD-UHFFFAOYSA-N	TRPC5	CHEMBL1250411	Q9UL62	6.35	True
BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHRM4	CHEMBL1821	P08173	6.35	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	OPRL1	CHEMBL2014	P41146	6.3	True
VNFPBHJOKIVQEB-UHFFFAOYSA-N	CACNA1C	CHEMBL1940	Q13936	6.23	True
RZTAMFZIAATZDJ-UHFFFAOYSA-N	ADORA3	CHEMBL256	P0DMS8	6.22	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA2B	CHEMBL1942	P18089	6.21	True
ZEUITGRIYCTCEM-KRWDZBQOSA-N	HTR2A	CHEMBL224	P28223	6.2	True
NKANXQFJJICGDU-QPLCGJKRSA-N	CHRM3	CHEMBL245	P20309	6.2	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	ADRA2B	CHEMBL1942	P18089	6.19	True
NKANXQFJJICGDU-QPLCGJKRSA-N	CHRM1	CHEMBL216	P11229	6.17	True
NKANXQFJJICGDU-QPLCGJKRSA-N	CHRM4	CHEMBL1821	P08173	6.17	True
BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHRM3	CHEMBL245	P20309	6.17	True
JCCNYMKQOSZNPW-UHFFFAOYSA-N	HRH2	CHEMBL1941	P25021	6.16	True
NKANXQFJJICGDU-QPLCGJKRSA-N	ADRA2A	CHEMBL1867	P08913	6.14	True
VNFPBHJOKIVQEB-UHFFFAOYSA-N	OPRM1	CHEMBL233	P35372	6.14	True
NKANXQFJJICGDU-QPLCGJKRSA-N	KCNH2	CHEMBL240	Q12809	6.1	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	HRH1	CHEMBL231	P35367	6.07	True
VNFPBHJOKIVQEB-UHFFFAOYSA-N	DRD3	CHEMBL234	P35462	6.05	True
BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHRM1	CHEMBL216	P11229	6.02	True
JCCNYMKQOSZNPW-UHFFFAOYSA-N	OPRK1	CHEMBL237	P41145	6.02	True
LNEPOXFFQSENCJ-UHFFFAOYSA-N	OPRM1	CHEMBL233	P35372	6.0	True
KKZJGLLVHKMTCM-UHFFFAOYSA-N	NPY1R	CHEMBL4777	P25929	6.0	True
QOYHHIBFXOOADH-UHFFFAOYSA-N	ADRA2C	CHEMBL1916	P18825	6.0	True
