候选ID,靶点名称,靶点Uniprot,靶点家族,主要功能,化合物InChIKey,化合物ChEMBL_ID,靶点ChEMBL_ID,SMILES,功能效力_pEC50_AC50,结合效力_pIC50_Ki_Kd,测定类型,酵母筛选_q,酵母筛选_最高rho,酵母筛选_显著任务数,ChEMBL实测_pChEMBL,对接亲和能_kcal_mol,PD预测_pIC50_DTI集成,PD预测_pIC50_kNN近邻,PD适用域_最近邻Tanimoto,对接门_通过,PD门_通过
YeastBridge_Mol001,ADRA2C,P18825,gpcr,功能性调节（EC50/AC50 测定，p=6.00；激动/拮抗方向未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL1916,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,6.0,,AC50,0.0,0.0493,2,6.0,-11.6,6.73,6.47,0.23,是,是
YeastBridge_Mol002,DRD3,P35462,gpcr,功能性调节（EC50/AC50 测定，p=7.00；激动/拮抗方向未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL234,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,7.0,,AC50,0.0,0.0493,2,7.0,-11.0,6.7,6.82,0.27,是,是
YeastBridge_Mol003,CHRM1,P11229,gpcr,结合调节（激动/拮抗未实验判定）,NKANXQFJJICGDU-QPLCGJKRSA-N,CHEMBL83,CHEMBL216,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,,6.17,IC50 Ki,0.0,0.0333,2,6.17,-10.7,6.73,7.55,0.28,是,是
YeastBridge_Mol004,HTR2B,P41595,gpcr,功能性调节（EC50/AC50 测定，p=5.34；激动/拮抗方向未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL1833,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,5.34,6.82,AC50 Ki,0.0,0.0493,2,6.82,-10.5,6.74,7.25,0.47,是,是
YeastBridge_Mol005,OPRL1,P41146,gpcr,结合调节（激动/拮抗未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL2014,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,,6.3,Ki,0.0,0.0493,2,6.3,-10.1,6.79,7.79,0.48,是,是
YeastBridge_Mol006,ADRA2C,P18825,gpcr,功能性调节（EC50/AC50 测定，p=5.31；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL1916,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,5.31,6.57,AC50 IC50 Ki,0.0,0.0181,1,6.57,-9.8,6.83,6.35,0.3,是,是
YeastBridge_Mol007,HTR2B,P41595,gpcr,结合调节（激动/拮抗未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL2095200,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,,7.8,Ki,0.0,0.0181,1,7.8,-9.7,6.84,7.22,0.51,是,是
YeastBridge_Mol008,DRD1,P21728,gpcr,功能性调节（EC50/AC50 测定，p=8.00；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL2056,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,8.0,8.21,AC50 IC50 Ki,0.0,0.0181,1,8.21,-9.6,6.74,6.19,0.5,是,是
YeastBridge_Mol009,ADRA2B,P18089,gpcr,功能性调节（EC50/AC50 测定，p=6.19；激动/拮抗方向未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL1942,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,6.19,,AC50,0.0,0.0493,2,6.19,-9.4,6.69,6.25,0.25,是,是
YeastBridge_Mol010,CHRM1,P11229,gpcr,结合调节（激动/拮抗未实验判定）,BYBLEWFAAKGYCD-UHFFFAOYSA-N,CHEMBL91,CHEMBL216,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,,6.02,IC50 Ki,0.0,0.0447,4,6.02,-9.2,6.64,6.82,0.14,是,是
YeastBridge_Mol011,ADRA1A,P35348,gpcr,结合调节（激动/拮抗未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL2094251,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,,8.24,Ki,0.0,0.0181,1,8.24,-9.1,6.93,6.46,0.37,是,是
YeastBridge_Mol012,DRD2,P14416,gpcr,功能性调节（EC50/AC50 测定，p=7.37；激动/拮抗方向未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL217,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,7.37,,AC50,0.0,0.0493,2,7.37,-8.8,6.73,6.72,0.27,是,是
YeastBridge_Mol013,KCNK2,O95069,ion_channel,结合调节（激动/拮抗未实验判定）,SVJMLYUFVDMUHP-UHFFFAOYSA-N,CHEMBL1275655,CHEMBL2321615,CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC,,6.37,IC50,0.0,0.1008,6,6.37,-8.8,6.79,5.54,0.41,是,是
YeastBridge_Mol014,HTR7,P34969,gpcr,功能性调节（EC50/AC50 测定，p=5.06；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL3155,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,5.06,6.5,AC50 Ki,0.0,0.0181,1,6.5,-8.6,6.83,7.8,0.5,是,是
YeastBridge_Mol015,DRD3,P35462,gpcr,功能性调节（EC50/AC50 测定，p=5.54；激动/拮抗方向未实验判定）,NKANXQFJJICGDU-QPLCGJKRSA-N,CHEMBL83,CHEMBL234,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,5.54,6.44,AC50 IC50 Ki,0.0,0.0333,2,6.44,-8.6,6.71,7.17,0.31,是,是
YeastBridge_Mol016,SCNN1A,P37088,ion_channel,结合调节（激动/拮抗未实验判定）,NIOHELZQFBGCEO-UHFFFAOYSA-N,CHEMBL211502,CHEMBL1791,C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N,,6.4,IC50,0.0,0.0716,1,6.4,-8.5,6.65,7.16,0.68,是,是
YeastBridge_Mol017,DRD4,P21917,gpcr,功能性调节（EC50/AC50 测定，p=7.94；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL219,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,7.94,9.13,AC50 EC50 IC50 Ki,0.0,0.0181,1,9.13,-8.3,6.9,7.58,0.41,是,是
YeastBridge_Mol018,ADRA2B,P18089,gpcr,功能性调节（EC50/AC50 测定，p=5.14；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL1942,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,5.14,6.32,AC50 IC50 Ki,0.0,0.0181,1,6.21,-8.2,6.79,6.18,0.31,是,是
YeastBridge_Mol019,DRD3,P35462,gpcr,功能性调节（EC50/AC50 测定，p=8.56；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL234,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,8.56,10.22,AC50 EC50 IC50 Kd Ki,0.0,0.0181,1,9.16,-8.1,6.8,7.13,0.29,是,是
YeastBridge_Mol020,TSHR,P16473,gpcr,结合调节（激动/拮抗未实验判定）,MJIHNNLFOKEZEW-UHFFFAOYSA-N,CHEMBL480,CHEMBL1963,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,,,Potency,0.0,0.1344,4,6.9,-7.9,6.62,4.86,0.24,是,是
YeastBridge_Mol021,HRH1,P35367,gpcr,功能性调节（EC50/AC50 测定，p=5.20；激动/拮抗方向未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL231,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,5.2,6.49,AC50 IC50 Ki,0.0,0.0181,1,6.49,-7.9,6.88,6.16,0.37,是,是
YeastBridge_Mol022,CHRM1,P11229,gpcr,结合调节（激动/拮抗未实验判定）,KKZJGLLVHKMTCM-UHFFFAOYSA-N,CHEMBL58,CHEMBL216,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,,6.74,IC50 Ki,0.0,0.023,1,6.74,-7.9,6.73,7.17,0.16,是,是
YeastBridge_Mol023,HTR2A,P28223,gpcr,功能性调节（EC50/AC50 测定，p=7.23；激动/拮抗方向未实验判定）,QOYHHIBFXOOADH-UHFFFAOYSA-N,CHEMBL46516,CHEMBL224,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,7.23,,AC50,0.0,0.0493,2,7.23,-7.8,6.77,7.36,0.28,是,是
YeastBridge_Mol024,ADRA1D,P25100,gpcr,结合调节（激动/拮抗未实验判定）,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,CHEMBL223,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,,7.39,IC50 Ki,0.0,0.0181,1,7.39,-7.7,6.79,6.27,0.37,是,是
