tier	priority	inchikey	chembl_id	task_target	family	rho	q	dose_uM	smiles	orf	task_rank	task_cosine	compound_z	library_reference	predicted_direction	control_role	compound_name	gene_common_name	essentiality	strain_collection	pair_id
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YLR385C	1	0.96484	-0.04536540061235428	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	SWC7	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YMR148W	2	0.96397	-0.05707493796944618	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	LDO16	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YGL121C	3	0.96384	-0.07999144494533539	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	GPG1	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YBR126W-A	4	0.96038		not_quantified_in_library		top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YNL024C-A	5	0.9582	-0.1505594253540039	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	KSH1	essential	heterozygous diploid deletion (HIP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YLR091W	6	0.95761	-0.06997314095497131	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	GEP5	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YHR193C-A	7	0.95511		not_quantified_in_library		top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YPL096C-A	8	0.95281	-0.0051643131300807	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	ERI1	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YDR281C	9	0.9515	-0.039924103766679764	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	PHM6	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YOL024W	10	0.95071	-0.03256335109472275	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YCR082W	11	0.95024	0.15440544486045837	measured_in_library	resistant	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	AHC2	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YPL257W	12	0.94958	0.019722266122698784	measured_in_library	resistant	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YDR260C	13	0.94934	-0.07044366747140884	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine	SWM1	nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YOL131W	14	0.94917	0.03668072074651718	measured_in_library	resistant	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		nonessential	homozygous diploid deletion (HOP-type)	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YCL021W-A	15	0.949	-0.06515946239233017	measured_in_library	hypersensitive	top_task	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YFR035W-A	6729	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
3	1	AVAFAFDOURGYKI-UHFFFAOYSA-N		STING1	ion_channel	0.2731897262037164	0.0	67.46	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N	YNL155C-A	6730	0.2747		not_quantified_in_library		bottom_task_control	4-(2,3-dihydro-1H-indol-1-yl)-1,3,5-triazin-2-amine		unknown	verify_before_use	T3-P001
