target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
ACKR3	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.07871248119791893	0.0	0.0	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
ACKR3	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.07318512192602998	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
ACKR3	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.07136712781122974	0.001	0.29796307836111546	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
ACKR3	ANGUDMWXEAAKLO-XSFVSMFZSA-N	52.7	0.06956798043133754	0.002	0.41835730300213264	CCOC1=C(C2=CC=CC=C2C=C1)C=C3C(=O)NC(=O)N(C3=O)C4=CC=C(C=C4)OC
ACKR3	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.0684008935255786	0.001	0.29796307836111546	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
ACKR3	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.06812275807702543	0.001	0.29796307836111546	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
ACKR3	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.0675298482045431	0.001	0.29796307836111546	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
ACKR3	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.06701379055604699	0.001	0.29796307836111546	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
ACKR3	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.06690013515316034	0.003	0.4880182862002977	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
ACKR3	DTQIEGZLOXESHQ-UHFFFAOYSA-N	59.9	0.06556931898181559	0.002	0.41835730300213264	C1=CC=C(C(=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-])Cl
ACKR3	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.06407627179463415	0.002	0.41835730300213264	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
ACKR3	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.06375657180170978	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
ACKR3	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.062217487057528977	0.002	0.41835730300213264	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
ACKR3	QUTZSNOFEQMSJC-UHFFFAOYSA-N	101	0.06106792938936966	0.004	0.5339731285988484	C1CCC2=C(C1)C3=C(S2)N4C(=S)NN=C4N(C3=O)C5=CC=CC=C5
ACKR3	SWZMSZQQJRKFBP-WZRBSPASSA-N	100	0.06070992398228851	0.005	0.5664855018807571	C1CCN2C(C1)C34CC2C=CC3=CC(=O)O4
