target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
ADGRE3	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.01982758146380084	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
ADGRE3	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.019528028549406995	0.0	0.0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
ADGRE3	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.01808245269241701	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
ADGRE3	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.0175926557079361	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
ADGRE3	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.016339726120832527	0.002	0.41835730300213264	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
ADGRE3	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.016205220531953824	0.001	0.29796307836111546	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
ADGRE3	NEDSMVZVSRBJIJ-UHFFFAOYSA-N	58.44	0.016015820361347036	0.001	0.29796307836111546	CC(C)OCCCNC(=O)C1=CC=C(C=C1)I
ADGRE3	DCOARUMNUITJLW-UHFFFAOYSA-N	49.47	0.015979286839192926	0.001	0.29796307836111546	COC1=CC=C(C=C1)CCCNS(=O)(=O)C2=CC=C(C=C2)F
ADGRE3	ZBHZRCBFWSEHBP-JYRVWZFOSA-N	12.22	0.015512662571644126	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=CO3
ADGRE3	SCXAYTWCHGRQPA-UHFFFAOYSA-N	5.54	0.01531266760832938	0.003	0.4880182862002977	C1=CC=C(C(=C1)N2C(=O)C=CC2=O)[N+](=O)[O-]
ADGRE3	LZAXPYOBKSJSEX-UHFFFAOYSA-N	171	0.015276362924413103	0.003	0.4880182862002977	CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
ADGRE3	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.015184623885644045	0.002	0.41835730300213264	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
ADGRE3	FEDHEIMYWLVVRS-UHFFFAOYSA-N	8.75	0.015099958786911814	0.002	0.41835730300213264	CCN1CCOC(=O)C1CC(=O)NC2=CC(=C(C=C2)F)F
ADGRE3	IGELAJYEOYKEOS-UHFFFAOYSA-N	510.7	0.015010931564781916	0.001	0.29796307836111546	COC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=C(C=C3)O
ADGRE3	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.01490407580375611	0.007	0.6148789841094884	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
