target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
ASIC4	DLHRPFVERCOHRS-UHFFFAOYSA-N	129	0.031858883620999395	0.0	0.0	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
ASIC4	DXEIEBNCIPTQFP-UHFFFAOYSA-N	200	0.029932174605091018	0.002	0.41835730300213264	CC1=CC2=C(C=C1)N=C(N=C2C)N=C(N)N
ASIC4	SAZRPHSJWZLRBK-UHFFFAOYSA-N	68.55	0.029707275276441302	0.001	0.29796307836111546	CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N3CCN(CC3)C)SC.Cl
ASIC4	KNMBHGSZDTURIO-UHFFFAOYSA-N	243	0.029526807812463578	0.0	0.0	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
ASIC4	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.028261896408967306	0.0	0.0	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
ASIC4	XHBZOAYMBBUURD-UHFFFAOYSA-N	44.17	0.027699563524213364	0.002	0.41835730300213264	COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O
ASIC4	VWOXKTBNPLGTSR-UHFFFAOYSA-N	49.47	0.026529778058399758	0.002	0.41835730300213264	CCCOC1=C(C=C(C=C1)S(=O)(=O)N(C)C)C
ASIC4	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.026427853535643878	0.001	0.29796307836111546	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
ASIC4	FMCLMNGRRYGFMH-UHFFFAOYSA-N	12.09	0.02583525180230513	0.002	0.41835730300213264	CC1=NN2C(=CC(=NC2=C1C3=CC=CC=C3)C(C)C)N4CCN(CC4)C
ASIC4	RJUTVACDIZQGRJ-UHFFFAOYSA-O	65.7	0.025676928415656483	0.004	0.5339731285988484	CC[NH2+]C1CCCC2=C1NC3=C2C=C(C=C3)C
ASIC4	UQNGBKYOCBSSOA-UHFFFAOYSA-N	70.5	0.025384227006010653	0.003	0.4880182862002977	CCOC1=CC(=O)OC2=C1C=CC(=C2)C
ASIC4	IMEHBSBZAOHPDZ-UHFFFAOYSA-N	49.47	0.025089170687279432	0.004	0.5339731285988484	CC1=CC=C(C=C1)OCCNC(=O)C2=CC(=C(C=C2)C)C
ASIC4	GUGVDLUPWKIBQU-UHFFFAOYSA-N	71.43	0.02485731697811366	0.003	0.4880182862002977	C1=CC=NC(=C1)SCC(=O)C2=CC=C(C=C2)Br
ASIC4	NINUDNFTMULJEE-UHFFFAOYSA-N	22.06	0.024590961126642885	0.005	0.5664855018807571	CCOC(=O)C1=CC=C(C=C1)NCC2=C(C=CC(=C2)Cl)O
ASIC4	KTSCRLVWGYIJDL-UHFFFAOYSA-N	142	0.02439238736058981	0.004	0.5339731285988484	CC1=CC=C(O1)CCC(=O)NC2=CC=C(C=C2)Cl
