target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CACNA1C	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.08739454815990082	0.0	0.0	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
CACNA1C	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.08231103078736357	0.0	0.0	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
CACNA1C	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.0789607501790091	0.0	0.0	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
CACNA1C	SVJMLYUFVDMUHP-UHFFFAOYSA-N	82	0.07392163806874404	0.0	0.0	CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
CACNA1C	VDDKPPDLMPOCRY-UHFFFAOYSA-N	454	0.07321512621903871	0.001	0.29796307836111546	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CS5)Br
CACNA1C	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.07309807195628995	0.0	0.0	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
CACNA1C	QQDNVANLYYGZIH-UHFFFAOYSA-O	82.3	0.06926127996189492	0.002	0.41835730300213264	C1=CC=C(C=C1)C[N+]2=CC=CC(=C2)C(=O)NNC=C3C(=O)C=CC4=CC=CC=C43
CACNA1C	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.06808041494717419	0.003	0.4880182862002977	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
CACNA1C	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.06787596702731552	0.0	0.0	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
CACNA1C	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.06738438026301571	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
CACNA1C	FSFQJJHNIYFCNG-UHFFFAOYSA-N	24	0.0669102619553634	0.0	0.0	CC(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)[N+]3=CC4=CC=CC=C4C=C3
CACNA1C	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.0666268702220634	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
CACNA1C	FQRLGZIGRMSTAX-OLZOCXBDSA-N	50	0.06657145381821278	0.003	0.4880182862002977	C1=CC=C(C=C1)CC(CC(=O)C(CCCN=C(N)N)N)C(=O)O
CACNA1C	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.0664754400657142	0.002	0.41835730300213264	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
CACNA1C	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.06628789601148674	0.002	0.41835730300213264	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
