target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CACNA1I	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.09109233160512072	0.0	0.0	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
CACNA1I	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.08512533739431974	0.001	0.29796307836111546	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
CACNA1I	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.08241529659965413	0.0	0.0	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
CACNA1I	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.08162965367099029	0.0	0.0	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
CACNA1I	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.07952062417824332	0.0	0.0	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
CACNA1I	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.07945373568993486	0.0	0.0	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
CACNA1I	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.07905117362054967	0.004	0.5339731285988484	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
CACNA1I	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.07858237763362798	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
CACNA1I	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.0771124661621768	0.002	0.41835730300213264	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
CACNA1I	YPUVZYIIXPQIEK-UHFFFAOYSA-N	17.2	0.07574050827471955	0.0	0.0	C1C2CC3CC1CC(C2)(C3)C4=CSC(=N4)NC=C5C=C(C=CC5=O)Br
CACNA1I	VDDKPPDLMPOCRY-UHFFFAOYSA-N	454	0.07460205234399363	0.001	0.29796307836111546	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CS5)Br
CACNA1I	YOYYKSJJIWTDRV-UHFFFAOYSA-N	200	0.07245177227196371	0.002	0.41835730300213264	CC1=CC(=NO1)C(=O)N2CCC3=CC=CC=C32
CACNA1I	FSFQJJHNIYFCNG-UHFFFAOYSA-N	24	0.07231972887665665	0.002	0.41835730300213264	CC(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)[N+]3=CC4=CC=CC=C4C=C3
CACNA1I	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.07187215961995544	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
CACNA1I	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.07015319658491792	0.0	0.0	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
