target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CACNB1	UQNGBKYOCBSSOA-UHFFFAOYSA-N	70.5	0.0420125958329984	0.0	0.0	CCOC1=CC(=O)OC2=C1C=CC(=C2)C
CACNB1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.038301945780886096	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
CACNB1	PMLKTYLRUUJIFE-UHFFFAOYSA-N	14.89	0.038037565326135614	0.001	0.29796307836111546	CC1=C(C(=C(C=C1)C)Cl)OCCCCN2C=CN=C2.Cl
CACNB1	XJQPQKLURWNAAH-UHFFFAOYSA-N	536.71	0.03400103169943849	0.0	0.0	CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
CACNB1	RIGSCQWAWIRFFV-UHFFFAOYSA-N	511.12	0.033715694176667636	0.0	0.0	CC1=CC(N(C2=C1C=CC(=C2)OC)C(=O)NC3=CC(=C(C=C3)Cl)Cl)(C)C
CACNB1	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.03371141254979402	0.001	0.29796307836111546	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
CACNB1	SWUARLUWKZWEBQ-VQHVLOKHSA-N	100	0.03266138328365525	0.002	0.41835730300213264	C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
CACNB1	OXRNQEJVYBPFJC-UHFFFAOYSA-N	87.4	0.03225476953971319	0.003	0.4880182862002977	C1=COC(=C1)CNC(=S)NC(=O)C2=CC=CS2
CACNB1	RZUHGAKUNBFQJS-UHFFFAOYSA-N	707.39	0.032243355288808416	0.001	0.29796307836111546	CN1CCC2=CC(=C(C3=C4C=C(C(=CC4=CC1=C23)OC)OC)OC)OC
CACNB1	XDYGCIOWNPNVIH-ZYJPSCNZSA-N	89.61	0.03152165376081533	0.003	0.4880182862002977	CC1=CC(=O)C2C(CCCC2(C1(CCC3=COC=C3)O)C)(C)C
CACNB1	DXEIEBNCIPTQFP-UHFFFAOYSA-N	200	0.03147138018152341	0.005	0.5664855018807571	CC1=CC2=C(C=C1)N=C(N=C2C)N=C(N)N
CACNB1	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.031393519811215576	0.002	0.41835730300213264	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
CACNB1	NKANXQFJJICGDU-QPLCGJKRSA-N	10.92	0.031030527502549594	0.005	0.5664855018807571	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
CACNB1	YFAUCIKFNUPZKN-UHFFFAOYSA-N	200	0.03090467861088422	0.001	0.29796307836111546	CCCCNC1=C(C(=O)OC(=C1)C)C(=O)C
CACNB1	PFXDCKOSCNEUJF-RKLIXYOZSA-N	32.26	0.030721577028649524	0.002	0.41835730300213264	CN(C)C=CC=C1CCC2=CC=CC=C2C1=O
