target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CALHM2	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.05446755919412751	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
CALHM2	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.048238914097584434	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
CALHM2	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.04372176560623587	0.0	0.0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
CALHM2	RZUHGAKUNBFQJS-UHFFFAOYSA-N	707.39	0.03990827817254344	0.002	0.41835730300213264	CN1CCC2=CC(=C(C3=C4C=C(C(=CC4=CC1=C23)OC)OC)OC)OC
CALHM2	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.03867068034060875	0.001	0.29796307836111546	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
CALHM2	YPTKKTRAGNKREQ-UHFFFAOYSA-N	9.68	0.0383796178897784	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=CC=C4I
CALHM2	OJNHXCUBYFNKTH-RAXLEYEMSA-N	154.43	0.03829052428120475	0.001	0.29796307836111546	COC1=CC=CC=C1C=C2C(=O)C3CCN2CC3
CALHM2	YEASPBADKSMHDK-UHFFFAOYSA-N	37	0.03748688200302676	0.0	0.0	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
CALHM2	KPNSXQNKDQMBAW-WYDVDPGPSA-N	41.2	0.03703636003925576	0.002	0.41835730300213264	CC(C)[Si]1(OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O[Si](O1)(C(C)C)C(C)C)C(C)C
CALHM2	AMPFCEAVGZSZOT-UHFFFAOYSA-N	34.77	0.03676326268778047	0.004	0.5339731285988484	C1C(C2COC(C1=O)O2)N3C4=CC=CC5=C4C(=CC=C5)S3(=O)=O
CALHM2	AYGGQJHJRFZDFH-UHFFFAOYSA-N	48.84	0.03565011180724181	0.003	0.4880182862002977	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
CALHM2	PRAUVHZJPXOEIF-VGKQSNDQSA-N	73.48	0.03504558376553342	0.001	0.29796307836111546	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O
CALHM2	AVAFAFDOURGYKI-UHFFFAOYSA-N	67.46	0.03482173892434994	0.0	0.0	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N
CALHM2	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.03476395213265842	0.001	0.29796307836111546	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
CALHM2	CLBFLRTUMYCASL-UHFFFAOYSA-N	27.7	0.034739457492502096	0.006	0.5941059225512528	COC1=CC=CC=C1N2CCN(CC2)C3=NC=NC4=CC=CC=C43
