target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CCR5	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.05703128296935734	0.0	0.0	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
CCR5	VHIZJSVECYVZTO-UHFFFAOYSA-N	453	0.05678220682689964	0.001	0.29796307836111546	C1CCC2=C(C1)C3=C(N2)C(=CC=C3)[N+](=O)[O-]
CCR5	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.055145429465522026	0.005	0.5664855018807571	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
CCR5	LSVBBJVITBGNFC-UHFFFAOYSA-N	49.59	0.051599708406218976	0.0	0.0	CCCCN1C(=O)C2=C(C1=O)C=C(C=C2)[N+](=O)[O-]
CCR5	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.050499739542480104	0.002	0.41835730300213264	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
CCR5	ANGUDMWXEAAKLO-XSFVSMFZSA-N	52.7	0.049121308253094666	0.003	0.4880182862002977	CCOC1=C(C2=CC=CC=C2C=C1)C=C3C(=O)NC(=O)N(C3=O)C4=CC=C(C=C4)OC
CCR5	SGVCNNGMQNCBQW-UHFFFAOYSA-N	28.3	0.04895602213731869	0.003	0.4880182862002977	CC1=CC(=C(C=C1)NC=C2C=C(C=CC2=O)Br)C(=O)C3=CC=CC=C3
CCR5	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.04875445520815256	0.0	0.0	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
CCR5	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.04861839826974554	0.003	0.4880182862002977	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
CCR5	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.04733662953735509	0.005	0.5664855018807571	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
CCR5	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.04702028709652723	0.002	0.41835730300213264	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
CCR5	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.046154410295972045	0.006	0.5941059225512528	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
CCR5	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.045754063762208995	0.003	0.4880182862002977	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
CCR5	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.045302860647974015	0.003	0.4880182862002977	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
CCR5	ZDQGSUCMJZBZOC-UHFFFAOYSA-N	121	0.04522353836775756	0.004	0.5339731285988484	CN1C(=CC=N1)C(=O)NC2=C(C=C(C=C2)Cl)Cl
