target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CHRND	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.020408121942863428	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
CHRND	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.018768374257150208	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
CHRND	SCXAYTWCHGRQPA-UHFFFAOYSA-N	5.54	0.017343944675297193	0.002	0.41835730300213264	C1=CC=C(C(=C1)N2C(=O)C=CC2=O)[N+](=O)[O-]
CHRND	LZAXPYOBKSJSEX-UHFFFAOYSA-N	171	0.01726363258565418	0.004	0.5339731285988484	CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
CHRND	KKZJGLLVHKMTCM-UHFFFAOYSA-N	164.41	0.016845129538092512	0.001	0.29796307836111546	C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
CHRND	RJUTVACDIZQGRJ-UHFFFAOYSA-O	65.7	0.01658294702787296	0.007	0.6148789841094884	CC[NH2+]C1CCCC2=C1NC3=C2C=C(C=C3)C
CHRND	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.016337376590281037	0.003	0.4880182862002977	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
CHRND	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.01616743010090694	0.005	0.5664855018807571	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
CHRND	XMNWGYAHESUGCX-UHFFFAOYSA-N	200	0.016030868130646393	0.007	0.6148789841094884	C1=CC=C2C=C(C=CC2=C1)SCC(=O)N
CHRND	NEDSMVZVSRBJIJ-UHFFFAOYSA-N	58.44	0.015916188409114455	0.007	0.6148789841094884	CC(C)OCCCNC(=O)C1=CC=C(C=C1)I
CHRND	IMEHBSBZAOHPDZ-UHFFFAOYSA-N	49.47	0.015916008145431527	0.007	0.6148789841094884	CC1=CC=C(C=C1)OCCNC(=O)C2=CC(=C(C=C2)C)C
CHRND	SAZRPHSJWZLRBK-UHFFFAOYSA-N	68.55	0.015875585956146427	0.005	0.5664855018807571	CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N3CCN(CC3)C)SC.Cl
CHRND	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.01575226163275585	0.004	0.5339731285988484	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
CHRND	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.015629922999447037	0.01	0.6644404300776433	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
CHRND	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.015627743145425615	0.007	0.6148789841094884	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
