target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CHRNG	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.022699045499232438	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
CHRNG	SAZRPHSJWZLRBK-UHFFFAOYSA-N	68.55	0.02205955942870446	0.0	0.0	CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N3CCN(CC3)C)SC.Cl
CHRNG	CFURALIVNOYQDS-UHFFFAOYSA-N	61.76	0.021867725295006905	0.0	0.0	CC(=O)NC1C2=CC=CC=C2N(C1=O)CCOC3=CC=CC=C3Cl
CHRNG	IMEHBSBZAOHPDZ-UHFFFAOYSA-N	49.47	0.021279336180542625	0.001	0.29796307836111546	CC1=CC=C(C=C1)OCCNC(=O)C2=CC(=C(C=C2)C)C
CHRNG	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.02107671232896138	0.001	0.29796307836111546	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
CHRNG	QHJFGASTGOKXSK-UHFFFAOYSA-N	58.44	0.02096944640559201	0.0	0.0	CC1=NC2=C(C=C1)C(=CC=C2)NC(=O)C3=C(C=C(C=C3)Cl)Cl
CHRNG	DLHRPFVERCOHRS-UHFFFAOYSA-N	129	0.02047387722145693	0.0	0.0	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
CHRNG	XFSHOUNLXGXSBL-UHFFFAOYSA-N	71.43	0.020033560382977957	0.0	0.0	C1=CC(=CC(=C1)F)NC(=O)CSC2=CC=C(C=C2)F
CHRNG	KNMBHGSZDTURIO-UHFFFAOYSA-N	243	0.01981566682312909	0.003	0.4880182862002977	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
CHRNG	YRBKEZXQBXATGS-UHFFFAOYSA-N	43.13	0.019402839603435255	0.001	0.29796307836111546	CC1=NC=C(C=C1)C2=NN3C(=NN=C3S2)CC(C)C
CHRNG	WDJUZGPOPHTGOT-KSVSUYAUSA-N	100	0.019020450002915735	0.003	0.4880182862002977	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
CHRNG	FXNFHKRTJBSTCS-UHFFFAOYSA-N	25.65	0.018923172885432788	0.0	0.0	C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O
CHRNG	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.018774695340790057	0.002	0.41835730300213264	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
CHRNG	XJWKTHNLDZPKIE-UHFFFAOYSA-N	46.09	0.01853138565330588	0.005	0.5664855018807571	CCN1C(=CC(=C1C)C(=O)CN2C=NC3=CC=CC=C32)C
CHRNG	IGELAJYEOYKEOS-UHFFFAOYSA-N	510.7	0.018518162334428767	0.005	0.5664855018807571	COC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=C(C=C3)O
