target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CMKLR2	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.13448077309003112	0.0	0.0	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
CMKLR2	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.12043354387440605	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
CMKLR2	DMUXQAWNZOPFFV-UHFFFAOYSA-N	49.47	0.10562541663034204	0.0	0.0	CC(C)CCOC1=CC=CC(=C1)NC(=O)C2=CC=NC=C2
CMKLR2	ARJGUVIAPHIKLE-UXBLZVDNSA-N	136	0.10492625402612435	0.001	0.29796307836111546	COC1=C(C=C(C=C1)C=C2C(=O)NC(=O)S2)OC
CMKLR2	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.10375599445567267	0.0	0.0	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
CMKLR2	YJRJARYHRGMBPL-UHFFFAOYSA-N	111.64	0.10313980102063466	0.001	0.29796307836111546	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC4=CC(=CC=C4)Br
CMKLR2	SWZMSZQQJRKFBP-WZRBSPASSA-N	100	0.10212303387369188	0.001	0.29796307836111546	C1CCN2C(C1)C34CC2C=CC3=CC(=O)O4
CMKLR2	IYLZJDSCZSTABQ-UHFFFAOYSA-N	203	0.10094328847713058	0.0	0.0	CCCCCN(C(=O)NC(=O)NC1=CC=CC=C1Cl)S(=O)(=O)C2=CC=C(C=C2)C
CMKLR2	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.10068424909740226	0.002	0.41835730300213264	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
CMKLR2	KVOJTUXGYQVLAJ-UHFFFAOYSA-N	85.09	0.1006549244742799	0.0	0.0	CC1=CC(=O)OC2=CC(=C(C=C12)O)O
CMKLR2	RWPDSIYQGCBXMK-UHFFFAOYSA-N	49.47	0.09969790326475741	0.001	0.29796307836111546	CCN1C(=CC(=C1C)C(=O)CN2C(=O)COC3=C2C=C(C=C3)C)C
CMKLR2	KNMBHGSZDTURIO-UHFFFAOYSA-N	42.78	0.09940022240171058	0.001	0.29796307836111546	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
CMKLR2	QUTZSNOFEQMSJC-UHFFFAOYSA-N	101	0.09917766826659716	0.002	0.41835730300213264	C1CCC2=C(C1)C3=C(S2)N4C(=S)NN=C4N(C3=O)C5=CC=CC=C5
CMKLR2	RJWORGFBUGFUNZ-DHDCSXOGSA-N	8.09	0.09911333919676313	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=CC=N3
CMKLR2	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.09839426378343383	0.001	0.29796307836111546	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
