target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GPR162	GVLDSGIQZAFIAN-UHFFFAOYSA-N	45	0.04667175190362722	0.0	0.0	CCCCCCCC1C(O1)CC#CC#CC(C=C)O
GPR162	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.038955425710724696	0.001	0.29796307836111546	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
GPR162	JMJFOHCLGYJSFZ-UHFFFAOYSA-N	26.6	0.03737996530158396	0.004	0.5339731285988484	CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)SC3C(=O)N(C(=O)S3)C4=CC=C(C=C4)C
GPR162	PRWIOEGVJASEDF-UHFFFAOYSA-N	154	0.03650919956237267	0.001	0.29796307836111546	C1=CC=C(C=C1)CCN2C(=O)C3=C(C=CS3)NC2=S
GPR162	KFULURXNVNLJOV-UHFFFAOYSA-N	179	0.03428439393301748	0.007	0.6148789841094884	CCCCN1C(=O)C2=C(C=CS2)NC1=S
GPR162	CHXSDKWBSFDZEU-UHFFFAOYSA-N	100	0.034179386849770656	0.004	0.5339731285988484	COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC)OC
GPR162	WIRIXRABFXLVKO-UHFFFAOYSA-N	96.38	0.0334018749625933	0.008	0.6327171980316751	C1=CC=C2C(=C1)N=C(S2)SCCN.Br
GPR162	BAJVTNDELBXKDE-UHFFFAOYSA-N	87.6	0.033251076751057894	0.003	0.4880182862002977	C1=COC(=C1)C(=O)C2=COC3=C2C=C(C=C3)O
GPR162	ALJZFUNHEUBSCR-UHFFFAOYSA-N	401	0.033028352955746354	0.003	0.4880182862002977	COC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)N3C=NN=N3
GPR162	PFMXWIFQXGUQFF-UHFFFAOYSA-N	237	0.03245127973016795	0.002	0.41835730300213264	C1=CSC(=C1)C2=CSC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N
GPR162	UWYBOEZQGCFECQ-UHFFFAOYSA-N	200	0.0323539121671689	0.008	0.6327171980316751	C1CC1NC(=O)C2=CC=CC=C2O
GPR162	ZUPRUYKDNMXKSG-UHFFFAOYSA-N	338	0.03218546095540589	0.005	0.5664855018807571	COC1=CC=C(C=C1)C2=CN3C4=CC=CC=C4N=C3N2CCN5CCCC5
GPR162	UVOYRRXVWKDTKA-UHFFFAOYSA-N	18	0.03206854555171105	0.008	0.6327171980316751	CC1=C(SC(=N1)N)C2=CSC(=N2)NC3=CC=C(C=C3)Cl
GPR162	WDJUZGPOPHTGOT-KSVSUYAUSA-N	100	0.031846057147484154	0.008	0.6327171980316751	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
GPR162	ZCDCGUYMOOCLSZ-UHFFFAOYSA-N	173	0.030785718467359186	0.006	0.5941059225512528	CC1=CC(=O)OC2=C1C=C(C=C2)OCC=C
