target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GPR37L1	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.09406618806713042	0.0	0.0	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
GPR37L1	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.09394166640984782	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
GPR37L1	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.09096217838897003	0.0	0.0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
GPR37L1	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.08668205655436063	0.001	0.29796307836111546	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
GPR37L1	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.07723115392838689	0.0	0.0	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
GPR37L1	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.07659903713382664	0.001	0.29796307836111546	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
GPR37L1	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.07474106935319653	0.0	0.0	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
GPR37L1	YOYYKSJJIWTDRV-UHFFFAOYSA-N	200	0.07424616474418058	0.002	0.41835730300213264	CC1=CC(=NO1)C(=O)N2CCC3=CC=CC=C32
GPR37L1	PIAKILNRCYLDQL-UHFFFAOYSA-N	114	0.0738381507770425	0.002	0.41835730300213264	COC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)OCC2=CC=CC=C2)[N+](=O)[O-]
GPR37L1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.07138287082439952	0.002	0.41835730300213264	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
GPR37L1	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.0691492632522272	0.006	0.5941059225512528	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
GPR37L1	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.06825947617864515	0.0	0.0	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
GPR37L1	YHXZJZATPFHLGR-SNAWJCMRSA-N	64.1	0.06559313455216506	0.003	0.4880182862002977	C1=CN=C(N=C1)NC(=O)C=CC2=CC=CS2
GPR37L1	VDDKPPDLMPOCRY-UHFFFAOYSA-N	454	0.06487855636084576	0.004	0.5339731285988484	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CS5)Br
GPR37L1	SGVCNNGMQNCBQW-UHFFFAOYSA-N	28.3	0.06350863461599301	0.002	0.41835730300213264	CC1=CC(=C(C=C1)NC=C2C=C(C=CC2=O)Br)C(=O)C3=CC=CC=C3
