target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GRIK5	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.025561838318700694	0.0	0.0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
GRIK5	NDTRRNHQQBSHHG-UHFFFAOYSA-N	49.47	0.02388680294113143	0.0	0.0	CC1=CC(=CC=C1)OC(C)C(=O)N2CCN(CC2)CC3=CC=CC=C3
GRIK5	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.023496275657951413	0.001	0.29796307836111546	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
GRIK5	OSZLEIRIVDPWFF-UHFFFAOYSA-N	71.43	0.02323170940927094	0.0	0.0	C=CCOC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)N3CCCCC3
GRIK5	RIHJVVHRLYBWEP-UHFFFAOYSA-N	408	0.02268297695155975	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)NC(=S)NC(=O)C4=CC=CS4
GRIK5	MZZAXKKQUMDLOA-UHFFFAOYSA-N	2.2	0.02030201491900395	0.004	0.5339731285988484	C1=CC(=C(C=C1Cl)Cl)C(=O)C(C(C(Cl)(Cl)Cl)O)Br
GRIK5	ZXAKLDKYCYYMFR-UHFFFAOYSA-N	71.43	0.020299246291362892	0.0	0.0	CC1=CC(=CC=C1)OCCN2C3=CC=CC=C3N=C2C4CCCO4
GRIK5	ORSCTFRUJZPQPU-YBEGLDIGSA-N	146	0.02027272305230273	0.004	0.5339731285988484	CC1=C(C=CC(=C1)I)NN=C2C(=NN(C2=O)C(=S)N)C
GRIK5	HQQYBKZRXLPDID-UHFFFAOYSA-N	64.86	0.019357375214875502	0.004	0.5339731285988484	CC1=C(C=C(C=C1)NC(=O)CN2CCN(CC2)C3=CC=CC=C3OC)Cl
GRIK5	VGGVWXJWWBYLBZ-UHFFFAOYSA-N	71.43	0.01877301605590736	0.011	0.6772097402388386	C1=CC(=CN=C1)CNC2=NC(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)Cl
GRIK5	PQFCOQQRDNXCIT-UHFFFAOYSA-N	176.74	0.01857454896283718	0.016	0.727692106483408	CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N)Cl
GRIK5	GUXUNEQEJGITDA-UHFFFAOYSA-N	265	0.018076328042235034	0.007	0.6148789841094884	C1=CC(=C(N=C1)Cl)C(=O)NC2=C(C=C(C=C2)Cl)Cl
GRIK5	DOQVSAYUXANHAE-UHFFFAOYSA-N	49.47	0.017774610927303397	0.009	0.6494849736827212	CC1=C(C=C(C=C1)C2=C(SC(=C2C(=O)N)NC(=O)C3=CN=CC=C3)C)C
GRIK5	ANBXQIMDYMEMAX-UHFFFAOYSA-N	16.03	0.01762578240611789	0.009	0.6494849736827212	C1=CC(=CC=C1CN2C3=C(C=C(C=C3)Br)C(=O)C2=O)F
GRIK5	BBMHWFCIWRBYFW-UHFFFAOYSA-N	1.61	0.01750980854167669	0.019	0.7489823574269874	C1(=C(C(=[N+](C(=C1Cl)Cl)[O-])Cl)Cl)Cl
