target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
HCAR1	KKBMVSGBGAUGTR-UHFFFAOYSA-N	62.6	0.025912708812627014	0.001	0.29796307836111546	C1=CC=C(C=C1)CCNC(=O)COC2=C(C=C(C=C2)Cl)Cl
HCAR1	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.02342479801791533	0.002	0.41835730300213264	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
HCAR1	PUHQMJSQZPUXJP-UHFFFAOYSA-N	10	0.023292624311568012	0.001	0.29796307836111546	C1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)O4
HCAR1	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.022128565617471223	0.001	0.29796307836111546	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
HCAR1	VHIZJSVECYVZTO-UHFFFAOYSA-N	453	0.021662699953512703	0.002	0.41835730300213264	C1CCC2=C(C1)C3=C(N2)C(=CC=C3)[N+](=O)[O-]
HCAR1	ATKADZVINWFQOE-SOFGYWHQSA-N	151	0.02039273058864529	0.006	0.5941059225512528	C1OC2=C(O1)C=C(C=C2)C=CC(=O)C3=CC=CC=C3
HCAR1	WDSLDFYBUSHAEM-UHFFFAOYSA-N	93.8	0.01986016270072559	0.007	0.6148789841094884	C1=CC=C(C=C1)N2NC3=NC=NC(=O)C3=N2
HCAR1	LAAMFYYXHGDSRH-UHFFFAOYSA-N	155	0.019535897463601567	0.01	0.6644404300776433	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=CC=CC2=O
HCAR1	QLEISLGJUIVTKR-UHFFFAOYSA-N	25.29	0.019486680842520084	0.002	0.41835730300213264	CC(=O)OC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3
HCAR1	LMXYVLFTZRPNRV-KMKOMSMNSA-N	63.9	0.01948044530631243	0.009	0.6494849736827212	C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2
HCAR1	IWOAIZJEQSPHST-UHFFFAOYSA-N	10.6	0.01927219019638395	0.003	0.4880182862002977	CC1=CC(=CNNC2=NC3=CC=CC=C3S2)C=C(C1=O)C
HCAR1	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.018937797115794203	0.011	0.6772097402388386	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
HCAR1	INDUNANCUDNZJY-SCOKXHSESA-N	100	0.018667026792312875	0.01	0.6644404300776433	CC(=O)OC1C2CC3C(CCC4(C3CC(=O)OC4C5=COC=C5)C)C(C2=O)(C(C1(C)C)CC(=O)OC)C
HCAR1	NKTBMYLYHOYUOT-SOFGYWHQSA-N	171.77	0.018583403960904795	0.006	0.5941059225512528	CCN1C(=O)C(=CC2=CC=CO2)SC1=S
HCAR1	ABCJCTVERFCFCP-UHFFFAOYSA-N	19.75	0.018564925727789967	0.01	0.6644404300776433	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C[N+]3=CC4=CC=CC=C4C=C3
