target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCNH6	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.04549076141631938	0.0	0.0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
KCNH6	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.04424018412685003	0.001	0.29796307836111546	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
KCNH6	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.04282762993456927	0.0	0.0	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
KCNH6	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.04203333542172697	0.0	0.0	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
KCNH6	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.04124842875893434	0.003	0.4880182862002977	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
KCNH6	IBQMHBGFMLHHLE-UHFFFAOYSA-N	126	0.041035957305063424	0.0	0.0	CCN(CC)CCCCCCCCOC(=O)C1=CC(=C(C(=C1)OC)OC)OC
KCNH6	PIAKILNRCYLDQL-UHFFFAOYSA-N	114	0.03825819646612791	0.003	0.4880182862002977	COC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)OCC2=CC=CC=C2)[N+](=O)[O-]
KCNH6	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.03785054880811962	0.001	0.29796307836111546	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
KCNH6	LAAMFYYXHGDSRH-UHFFFAOYSA-N	155	0.037519655674388905	0.004	0.5339731285988484	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=CC=CC2=O
KCNH6	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.03673786299924259	0.002	0.41835730300213264	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
KCNH6	KTEXNACQROZXEV-CDQRVUJFSA-N	318.54	0.03641560545904197	0.001	0.29796307836111546	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
KCNH6	UCUYMXSMUBCWGS-UHFFFAOYSA-N	16.14	0.03582163050308993	0.003	0.4880182862002977	C1CN(CCN1CC2=CC=CC3=CC=CC=C32)CC4=CNC5=CC=CC=C54
KCNH6	KPFCTSPVNYQSOW-UHFFFAOYSA-N	3.07	0.03492325723308506	0.003	0.4880182862002977	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C(=CC(=C3)[N+](=O)[O-])C#N
KCNH6	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.03468902426852198	0.0	0.0	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
KCNH6	QGXBDMJGAMFCBF-LUJOEAJASA-N	68.9	0.03462491300177975	0.003	0.4880182862002977	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O
