target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCNJ13	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.05078609750260702	0.001	0.29796307836111546	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
KCNJ13	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.045301879930160445	0.001	0.29796307836111546	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
KCNJ13	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.04218375498596443	0.0	0.0	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
KCNJ13	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.038698713768529784	0.0	0.0	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
KCNJ13	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.03761757281339739	0.002	0.41835730300213264	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
KCNJ13	HKDOQQYMNWPUBN-UHFFFAOYSA-N	61.7	0.0361322864745976	0.005	0.5664855018807571	CCCCCCCN1C=NC2=CC=CC=C2C1=O
KCNJ13	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0345048453764117	0.005	0.5664855018807571	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
KCNJ13	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.034312570850320294	0.008	0.6327171980316751	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
KCNJ13	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.03398543194591574	0.001	0.29796307836111546	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
KCNJ13	CAWGAZOGNAWLPB-UHFFFAOYSA-N	37.1	0.033692961333513155	0.006	0.5941059225512528	CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=CC(=C(C(=C4)OC)OC)OC)C5=CC=CC=C51
KCNJ13	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.033222501983460294	0.004	0.5339731285988484	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
KCNJ13	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.03251980361939366	0.006	0.5941059225512528	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
KCNJ13	LAAMFYYXHGDSRH-UHFFFAOYSA-N	155	0.032445954588968484	0.011	0.6772097402388386	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=CC=CC2=O
KCNJ13	YEHDMSUNJUONMW-UHFFFAOYSA-N	16.4	0.03213433156903771	0.005	0.5664855018807571	COC1=CC=CC=C1C2=CC(=O)C3=CC=CC=C3O2
KCNJ13	KTEXNACQROZXEV-CDQRVUJFSA-N	318.54	0.03189858951516016	0.005	0.5664855018807571	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
