target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCNK3	VDDKPPDLMPOCRY-UHFFFAOYSA-N	454	0.07156277257990602	0.0	0.0	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CS5)Br
KCNK3	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.06517997390515107	0.0	0.0	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
KCNK3	QLEISLGJUIVTKR-UHFFFAOYSA-N	25.29	0.06441009110171109	0.0	0.0	CC(=O)OC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3
KCNK3	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.06300360103130571	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
KCNK3	YEHDMSUNJUONMW-UHFFFAOYSA-N	16.4	0.061213339495606325	0.002	0.41835730300213264	COC1=CC=CC=C1C2=CC(=O)C3=CC=CC=C3O2
KCNK3	QCEXFVBEVUCEAA-PKNBQFBNSA-N	32.13	0.05956137070435823	0.001	0.29796307836111546	CC(=CC1=CC=CC=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-]
KCNK3	KNEPKOQSGFSSJJ-UHFFFAOYSA-N	172	0.05860795674629676	0.004	0.5339731285988484	CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-])F
KCNK3	ACNHBCIZLNNLRS-UBGQALKQSA-N	115	0.05795489966961453	0.003	0.4880182862002977	CC12CCC3C(=CC(=O)C(O3)C(C)(C)O)C1(CCC4C2(C5=C(C4)C6=CC=CC=C6N5)C)O
KCNK3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.057153835709364505	0.002	0.41835730300213264	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
KCNK3	FSFQJJHNIYFCNG-UHFFFAOYSA-N	24	0.05670977913905639	0.003	0.4880182862002977	CC(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)[N+]3=CC4=CC=CC=C4C=C3
KCNK3	JLIFGFRXBLCQSK-DHDCSXOGSA-N	16.9	0.056621319197500485	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=NC=C3
KCNK3	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.05569389849918924	0.002	0.41835730300213264	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
KCNK3	CAWGAZOGNAWLPB-UHFFFAOYSA-N	37.1	0.05558824193415872	0.003	0.4880182862002977	CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=CC(=C(C(=C4)OC)OC)OC)C5=CC=CC=C51
KCNK3	UJVNRQROVHLQAP-UHFFFAOYSA-O	10.1	0.05555913722425644	0.002	0.41835730300213264	C1=CC=C(C=C1)C(=O)C[N+]2=CC=CC(=C2)C(=O)NNC=C3C(=O)C=CC4=CC=CC=C43
KCNK3	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.055288779104876645	0.001	0.29796307836111546	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
