target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCNMB2	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.046154571608484914	0.001	0.29796307836111546	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
KCNMB2	QDFJDWXCNLXZGJ-UHFFFAOYSA-N	191	0.04574232643758269	0.002	0.41835730300213264	CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)OC)C3=C(C=CC(=C3)OC)OC
KCNMB2	YUOYHRVPSNQJHZ-UHFFFAOYSA-N	135	0.03925249165102123	0.01	0.6644404300776433	COC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=C(C=C2)Br
KCNMB2	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.0383883259799716	0.005	0.5664855018807571	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
KCNMB2	UVOYRRXVWKDTKA-UHFFFAOYSA-N	18	0.03774911074876429	0.01	0.6644404300776433	CC1=C(SC(=N1)N)C2=CSC(=N2)NC3=CC=C(C=C3)Cl
KCNMB2	HFWWPJGYQOWDNB-MFOYZWKCSA-N	191	0.03723612312507563	0.008	0.6327171980316751	COC1=C(C=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)Br)O
KCNMB2	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.03687298545707514	0.008	0.6327171980316751	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
KCNMB2	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.036707753835170345	0.012	0.6894826964671954	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
KCNMB2	WPCNPPGCDGNRMP-UHFFFAOYSA-N	28.1	0.03460070416782445	0.014	0.7113908076514347	CC1=CC=CC=C1C(=O)OCC2CCCN3C2CCCC3.[N+](=O)(O)[O-].[N+](=O)(O)[O-].O.O.O.O.O.O.[Co]
KCNMB2	QUTZSNOFEQMSJC-UHFFFAOYSA-N	101	0.03434442560556946	0.024	0.776654512846109	C1CCC2=C(C1)C3=C(S2)N4C(=S)NN=C4N(C3=O)C5=CC=CC=C5
KCNMB2	ITOIFNLYKDMKOA-UHFFFAOYSA-N	33.9	0.03403434785862247	0.017	0.7355584336259163	CCOC(=O)C1=C(OC2=C1C(=C(C(=C2)CN(C)C)O)CN(C)C)C3=CC=CC=C3
KCNMB2	MWWSFMDVAYGXBV-RUELKSSGSA-N	7.67	0.03385990518747704	0.017	0.7355584336259163	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl
KCNMB2	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.03347223499111812	0.023	0.772058952578188	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
KCNMB2	SAWAAQICKQMABJ-UHFFFAOYSA-N	11.9	0.03333339349000987	0.019	0.7489823574269874	C1=CC=C(C=C1)OCCC(=O)NC2=CC(=C(C=C2)Cl)Cl
KCNMB2	ZLHVIYHWWQYJID-UHFFFAOYSA-N	55.5	0.032974228182545626	0.026	0.7848710117821602	C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)O
