target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCNQ3	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.07363142634644226	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
KCNQ3	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.07275902346927665	0.0	0.0	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
KCNQ3	KFULURXNVNLJOV-UHFFFAOYSA-N	179	0.06907622855570791	0.0	0.0	CCCCN1C(=O)C2=C(C=CS2)NC1=S
KCNQ3	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.06900224030905419	0.0	0.0	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
KCNQ3	WIRIXRABFXLVKO-UHFFFAOYSA-N	96.38	0.06419089739261949	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)SCCN.Br
KCNQ3	YHXZJZATPFHLGR-SNAWJCMRSA-N	64.1	0.06356678481267072	0.0	0.0	C1=CN=C(N=C1)NC(=O)C=CC2=CC=CS2
KCNQ3	GVLDSGIQZAFIAN-UHFFFAOYSA-N	45	0.06252160740116085	0.0	0.0	CCCCCCCC1C(O1)CC#CC#CC(C=C)O
KCNQ3	FHGIYKZDHZKFAJ-UHFFFAOYSA-N	48.3	0.06021311928579585	0.0	0.0	CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)C3=CC4=CC=CC=C4OC3=O)C)[N+](=O)[O-]
KCNQ3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.05993262112765872	0.002	0.41835730300213264	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
KCNQ3	PRWIOEGVJASEDF-UHFFFAOYSA-N	154	0.059333134804956535	0.0	0.0	C1=CC=C(C=C1)CCN2C(=O)C3=C(C=CS3)NC2=S
KCNQ3	OEIOSAFYCBYSPX-UHFFFAOYSA-N	110.76	0.05813316431466281	0.002	0.41835730300213264	C1=CSC(=C1)C(=O)NC2=C(C=CS2)C(=O)N
KCNQ3	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.057705345502979115	0.002	0.41835730300213264	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
KCNQ3	PIAKILNRCYLDQL-UHFFFAOYSA-N	114	0.05637787865045889	0.004	0.5339731285988484	COC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)OCC2=CC=CC=C2)[N+](=O)[O-]
KCNQ3	CJVRMJIOBJQEAV-UHFFFAOYSA-N	114	0.05636322645305647	0.003	0.4880182862002977	CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)C(=O)N5CCOCC5
KCNQ3	JMJFOHCLGYJSFZ-UHFFFAOYSA-N	26.6	0.05616102644852428	0.0	0.0	CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)SC3C(=O)N(C(=O)S3)C4=CC=C(C=C4)C
