target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
LRRC8A	VWWIZWZCXNZMNC-UHFFFAOYSA-N	8.15	0.15449920296669006	4.3294758796691895	0.0	60	0.0	CCC1=CC2=C(C=C1)OC(=C3C=C(C=CC3=O)NC=C4C=CC=C(C4=O)OC)N2
LRRC8A	SMEROWZSTRWXGI-HVATVPOCSA-N	53.1	0.22734659910202026	4.250898361206055	0.0	60	0.0	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C
LRRC8A	VUPXFUMCXLXTED-UHFFFAOYSA-N	211	0.15454132854938507	3.961979866027832	0.001	60	0.29262452107279696	CC1=CC(=C(C(=C1)N=CC2=CC=C(C=C2)OC(=O)C3=CC=C(C=C3)Cl)O)C
LRRC8A	CMCGHRHRAQYHQQ-UHFFFAOYSA-N	476	0.16626104712486267	3.890439748764038	0.0	60	0.0	C1=CC=C(C=C1)C2=CN(C(=N2)SCC(=O)NC3=CC=CC=C3Cl)C4=CC=CC=C4
LRRC8A	YFKFJHGNRYDDBF-UHFFFAOYSA-O	156	0.16113099455833435	3.860619068145752	0.0	60	0.0	C1=CC=C(C=C1)C(=O)NC2=C[N+](=CC=C2)CC(=O)C3=CC=CC4=CC=CC=C43
LRRC8A	KNMBHGSZDTURIO-UHFFFAOYSA-N	42.78	0.1782081574201584	3.7606658935546875	0.001	60	0.29262452107279696	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
LRRC8A	FGIQAVBDULQHRW-CMDGGOBGSA-N	11.6	0.16513384878635406	3.6795055866241455	0.0	60	0.0	C1=CC=C2C(=C1)NC(=N2)C=CC3=CC(=CC=C3)[N+](=O)[O-]
LRRC8A	TZMXCFNRWDJQJM-UHFFFAOYSA-N	198.39	0.1730262190103531	3.6230764389038086	0.002	60	0.389171974522293	C1=CC=C(C=C1)OCC(=O)C2=C(C=C(C=C2)O)O
LRRC8A	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.1483869105577469	3.550022840499878	0.001	60	0.29262452107279696	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
LRRC8A	KJYYVKYSBVQXBM-NVNXTCNLSA-N	439	0.1284114271402359	3.4476757049560547	0.0	60	0.0	CC(=NNC(=S)N)C12CC3CC(C1)CC(C3)C2
LRRC8A	DWKBIUBIASWQMZ-UHFFFAOYSA-N	44.5	0.1719249039888382	3.416228771209717	0.003	60	0.4555168986083499	CC1=CC(=C(C=C1)N)C(=O)C2=CC(=CC=C2)Cl
LRRC8A	GOSXYOIWVJACTD-UHFFFAOYSA-N	38.6	0.16365677118301392	3.413238763809204	0.003	60	0.4555168986083499	C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)C3=CC=C(C=C3)N
LRRC8A	GEHJIACZUFWBTK-UHFFFAOYSA-N	120	0.5463075637817383	3.3330514430999756	0.001	60	0.29262452107279696	C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I
LRRC8A	ZKEVGLUAKGKGMO-UHFFFAOYSA-N	83.04	0.15650884807109833	3.3042757511138916	0.003	60	0.4555168986083499	C1CC2(C3=CC=CC=C3C(=O)O2)OC1=O
LRRC8A	UNBMQQNYLCPCHS-ZRDIBKRKSA-N	50	0.31009843945503235	3.300607442855835	0.001	60	0.29262452107279696	CCC1C(OC1=O)C(C)CC(=CC(C)C(=O)C(C)C(C(C)CC)O)C
