target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
LRRC8C	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.03183412322882834	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
LRRC8C	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.030572930710885498	0.001	0.29796307836111546	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
LRRC8C	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.029067857520364882	0.002	0.41835730300213264	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
LRRC8C	YEASPBADKSMHDK-UHFFFAOYSA-N	37	0.028347586819109604	0.001	0.29796307836111546	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
LRRC8C	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.027896303833596856	0.004	0.5339731285988484	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
LRRC8C	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.027839639466321963	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
LRRC8C	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.027759494161356205	0.001	0.29796307836111546	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
LRRC8C	CGDKYDPBMZLPSG-UHFFFAOYSA-N	49.85	0.027665238530094883	0.0	0.0	C1=CC(=CN=C1)C(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F
LRRC8C	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.02763185133767513	0.001	0.29796307836111546	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
LRRC8C	RFAXLXKIAKIUDT-UHFFFAOYSA-N	2.69	0.027190702909146207	0.003	0.4880182862002977	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
LRRC8C	PRAUVHZJPXOEIF-VGKQSNDQSA-N	73.48	0.026616716428677373	0.003	0.4880182862002977	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O
LRRC8C	AYGGQJHJRFZDFH-UHFFFAOYSA-N	48.84	0.025968558527686675	0.006	0.5941059225512528	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
LRRC8C	IGELAJYEOYKEOS-UHFFFAOYSA-N	510.7	0.0244836183275806	0.007	0.6148789841094884	COC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=C(C=C3)O
LRRC8C	SEEMHQCGYXSBSC-UHFFFAOYSA-N	124	0.02381265333533254	0.013	0.7012571742839818	CCSC1=[NH+]C2=CC=CC=C2N1.[Cl-]
LRRC8C	NKANXQFJJICGDU-QPLCGJKRSA-N	10.92	0.023789652999673096	0.005	0.5664855018807571	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
