target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
NMBR	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.025176519809634246	0.003	0.4880182862002977	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
NMBR	BORNFOCZNCAECU-GHIXNKMVSA-N	72.4	0.02463791661214599	0.004	0.5339731285988484	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC=CC4=CC=CC=C4Cl
NMBR	RJUTVACDIZQGRJ-UHFFFAOYSA-O	65.7	0.023588312913445604	0.001	0.29796307836111546	CC[NH2+]C1CCCC2=C1NC3=C2C=C(C=C3)C
NMBR	QDFJDWXCNLXZGJ-UHFFFAOYSA-N	191	0.022288704081911335	0.004	0.5339731285988484	CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)OC)C3=C(C=CC(=C3)OC)OC
NMBR	IDYLOMJSJGBBMS-UHFFFAOYSA-N	7.48	0.02205262308206761	0.001	0.29796307836111546	CCOC(=O)C(=O)NNC1=CC=C(C=C1)Cl
NMBR	ZDCZVPAWKQQXKJ-UHFFFAOYSA-N	23.7	0.021818562150453084	0.013	0.7012571742839818	C1=CC=C2C(=C1)C=CC=C2C3=C(OC4=C(C3=O)C=CC(=C4)O)C(F)(F)F
NMBR	UUTPWWFKHYOFRA-OVCLIPMQSA-N	138	0.021621225335648097	0.002	0.41835730300213264	CC1=CC2=C(C=C1)OC(CC2=NO)(C(F)(F)F)O
NMBR	VABYUUZNAVQNPG-BQYQJAHWSA-N	83.33	0.02099072378701783	0.008	0.6327171980316751	COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O
NMBR	DXEIEBNCIPTQFP-UHFFFAOYSA-N	200	0.020808515185512678	0.012	0.6894826964671954	CC1=CC2=C(C=C1)N=C(N=C2C)N=C(N)N
NMBR	WPCNPPGCDGNRMP-UHFFFAOYSA-N	28.1	0.02062188813194297	0.007	0.6148789841094884	CC1=CC=CC=C1C(=O)OCC2CCCN3C2CCCC3.[N+](=O)(O)[O-].[N+](=O)(O)[O-].O.O.O.O.O.O.[Co]
NMBR	SAWAAQICKQMABJ-UHFFFAOYSA-N	11.9	0.020595478005460875	0.009	0.6494849736827212	C1=CC=C(C=C1)OCCC(=O)NC2=CC(=C(C=C2)Cl)Cl
NMBR	TVFLFGHEMAPIGV-UHFFFAOYSA-N	43.7	0.0205359231917511	0.009	0.6494849736827212	CC1=C(C(=NN1)NC2=CC=C(C=C2)Cl)[N+](=O)[O-]
NMBR	YZXBAPSDXZZRGB-UHFFFAOYSA-N	100	0.020507012112264463	0.013	0.7012571742839818	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
NMBR	MZGNZMHWZIUVQL-UHFFFAOYSA-N	49.47	0.020126195347737217	0.014	0.7113908076514347	C1CN(CCN1CC(=O)NC2=CC=C(C=C2)F)C3=CC=CC(=C3)C(F)(F)F
NMBR	IMXPBIVHPVHSIJ-UHFFFAOYSA-N	342	0.019719007655140005	0.022	0.7671282200871452	COC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC=C3C(=O)O
