target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
NMUR2	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.049739994587996925	0.0	0.0	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
NMUR2	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.045104709987692344	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
NMUR2	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.04163903422717844	0.0	0.0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
NMUR2	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.04114552029380372	0.001	0.29796307836111546	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
NMUR2	UTIFPSGFLVZWBR-HJWRWDBZSA-N	200	0.03893440239347008	0.003	0.4880182862002977	COC1=CC2=C(C=C1)NC(=O)C2=C3C(=O)NC(=S)S3
NMUR2	LFVYDUHHPGRLAT-UHFFFAOYSA-N	77.3	0.03713832805872536	0.003	0.4880182862002977	C1=CC(=CC=C1N)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
NMUR2	GVFVOLLPFJNCPC-UHFFFAOYSA-N	159	0.03617544273845741	0.003	0.4880182862002977	COC1=CC=CC(=CNC2=C(C=C(C=C2)Br)C(=O)O)C1=O
NMUR2	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.03612484991819722	0.003	0.4880182862002977	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
NMUR2	PIAKILNRCYLDQL-UHFFFAOYSA-N	114	0.035972835041586465	0.008	0.6327171980316751	COC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)OCC2=CC=CC=C2)[N+](=O)[O-]
NMUR2	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.03457806040465628	0.007	0.6148789841094884	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
NMUR2	VHIZJSVECYVZTO-UHFFFAOYSA-N	453	0.034535325153167346	0.004	0.5339731285988484	C1CCC2=C(C1)C3=C(N2)C(=CC=C3)[N+](=O)[O-]
NMUR2	KPFCTSPVNYQSOW-UHFFFAOYSA-N	3.07	0.034264007962154355	0.004	0.5339731285988484	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C(=CC(=C3)[N+](=O)[O-])C#N
NMUR2	CAWGAZOGNAWLPB-UHFFFAOYSA-N	37.1	0.03407471085505126	0.006	0.5941059225512528	CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=CC(=C(C(=C4)OC)OC)OC)C5=CC=CC=C51
NMUR2	HPGKJCFDLAZRAQ-UHFFFAOYSA-N	2.74	0.03360565729870037	0.008	0.6327171980316751	CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC=C2)C(C)(C)CC
NMUR2	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.033198305573822535	0.008	0.6327171980316751	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
