target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR10J3	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.02425995148806193	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR10J3	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.02271865350471461	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR10J3	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.02227695184490051	0.0	0.0	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR10J3	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.02087120042490933	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR10J3	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.0201472691651041	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR10J3	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.01960687227224302	0.0	0.0	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR10J3	BQNMCASOYODBDK-UHFFFAOYSA-N	14.94	0.019522177846184933	0.0	0.0	CC1=NN2C(=CC(=NC2=C1C3=CC=CC=C3)C(C)C)N4CCN(CC4)CCO
OR10J3	FBLAHUMENIHUGG-UHFFFAOYSA-N	75.9	0.01888682102271099	0.0	0.0	CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O
OR10J3	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.018289644192514533	0.0	0.0	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR10J3	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.01808213927123675	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR10J3	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.017632708484798015	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR10J3	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.017121449376601688	0.001	0.29796307836111546	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR10J3	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.01700084378745072	0.0	0.0	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
OR10J3	PSIDVLQBLHZTTJ-UHFFFAOYSA-N	234	0.016675874259757494	0.003	0.4880182862002977	CC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCOCC4
OR10J3	VFQQIAWYDBMZCG-UHFFFAOYSA-N	19.48	0.01653892995473273	0.004	0.5339731285988484	C1=CC(=CC=C1OCC(=O)NC2=CC(=CC(=C2)F)F)Cl
