target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR11H6	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.02028230745190518	0.0	0.0	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR11H6	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.01983881833848109	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR11H6	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.019204170741677934	0.0	0.0	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR11H6	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.019032965595467313	0.002	0.41835730300213264	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR11H6	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.018598081654240383	0.001	0.29796307836111546	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR11H6	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.018421992455134734	0.003	0.4880182862002977	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR11H6	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.018346072681184843	0.001	0.29796307836111546	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR11H6	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.018085740787380636	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR11H6	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.01738364843148444	0.001	0.29796307836111546	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR11H6	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.01704632887703781	0.001	0.29796307836111546	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR11H6	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.016908239853125038	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR11H6	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.01637257561545075	0.002	0.41835730300213264	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR11H6	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.016331495537604473	0.005	0.5664855018807571	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR11H6	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.01599989543049603	0.002	0.41835730300213264	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
OR11H6	SESWSQALQQDVON-UHFFFAOYSA-N	49.47	0.01577272609453876	0.006	0.5941059225512528	CCOC(=O)C1=C(SC(=C1)C(C)C)NC(=O)C2=CN=CC=C2
