target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR14I1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.03680099854828792	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR14I1	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.03440083031055998	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR14I1	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.02675609837551574	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR14I1	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.026058849730724382	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR14I1	CCOJFDRSZSSKOG-SNVBAGLBSA-N	13.4	0.025554773406120404	0.001	0.29796307836111546	CC(C1=CC=C(C=C1)OC)C(=O)C2=C(C=C(C=C2)O)O
OR14I1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.025197872440020787	0.001	0.29796307836111546	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR14I1	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.024422585354474235	0.001	0.29796307836111546	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
OR14I1	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	0.02427291821402247	0.0	0.0	CC(CCC=C(C)C)CCOC(=O)C
OR14I1	GTLUNTOVPCRQID-UHFFFAOYSA-N	71.43	0.024167355046232207	0.001	0.29796307836111546	CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(OC(=C2)C)C
OR14I1	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.02402203400148114	0.001	0.29796307836111546	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR14I1	RYLXGTKGTSJWBG-UHFFFAOYSA-N	49.47	0.023897151265798743	0.0	0.0	C1COC2=C(O1)C=CC(=C2)C(=O)NCC3=CC=C(C=C3)Cl
OR14I1	KDKVQTKLWWJERB-UHFFFAOYSA-N	200	0.02364593913346593	0.003	0.4880182862002977	C1=CC(=CN=C1)C2C(=C(SC(=C2C#N)N)N)C#N
OR14I1	DQWQITFUWFBXON-UHFFFAOYSA-N	54.59	0.023529192366422876	0.002	0.41835730300213264	COC(=O)C1=CC(=O)C(=C2C(=C1)C=CC(=C2O)O)O
OR14I1	FBLAHUMENIHUGG-UHFFFAOYSA-N	75.9	0.023453338601048736	0.002	0.41835730300213264	CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O
OR14I1	BNFLSPBWCHLHEZ-UHFFFAOYSA-N	80	0.022899362641753723	0.005	0.5664855018807571	CN(C)CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2
