target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR1L6	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.028008873678092367	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR1L6	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.023182023494907725	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR1L6	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.02279575548097547	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR1L6	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.020908121878703702	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR1L6	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.020877014211846213	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR1L6	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.020332638293250525	0.0	0.0	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
OR1L6	OXAZPAPVJZTSMR-UHFFFAOYSA-N	155	0.019595050821604388	0.002	0.41835730300213264	CC1=C(C(NC(=O)N1CC2=CC=CC=C2)C3=C(C=CC4=CC=CC=C43)OC)[N+](=O)[O-]
OR1L6	DQWQITFUWFBXON-UHFFFAOYSA-N	54.59	0.01941000171341521	0.0	0.0	COC(=O)C1=CC(=O)C(=C2C(=C1)C=CC(=C2O)O)O
OR1L6	BNFLSPBWCHLHEZ-UHFFFAOYSA-N	80	0.019378662136697634	0.004	0.5339731285988484	CN(C)CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2
OR1L6	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.019346157313938947	0.0	0.0	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR1L6	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.019107835662045734	0.001	0.29796307836111546	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR1L6	FBLAHUMENIHUGG-UHFFFAOYSA-N	75.9	0.01902353856592915	0.001	0.29796307836111546	CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O
OR1L6	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.018708923928200918	0.004	0.5339731285988484	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR1L6	SBNMWDVFZOGQLO-UHFFFAOYSA-N	49.47	0.018605680497616146	0.002	0.41835730300213264	CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2CN(C)C(=O)C
OR1L6	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.01849370122531437	0.002	0.41835730300213264	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
