target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR2W6P	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.039215556493094786	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR2W6P	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.03360882839044671	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR2W6P	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.028379615604273063	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR2W6P	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.026794211107098603	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR2W6P	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.024828768261771574	0.0	0.0	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR2W6P	GTLUNTOVPCRQID-UHFFFAOYSA-N	71.43	0.02471464561572454	0.0	0.0	CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(OC(=C2)C)C
OR2W6P	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.023755609554643547	0.001	0.29796307836111546	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
OR2W6P	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.023672837798585623	0.0	0.0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
OR2W6P	RYLXGTKGTSJWBG-UHFFFAOYSA-N	49.47	0.02363904456675488	0.0	0.0	C1COC2=C(O1)C=CC(=C2)C(=O)NCC3=CC=C(C=C3)Cl
OR2W6P	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.023408044437428794	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR2W6P	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.023367259526573782	0.0	0.0	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
OR2W6P	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.02318465754975816	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR2W6P	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.023173421224230703	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR2W6P	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.02314901335959231	0.001	0.29796307836111546	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR2W6P	NJMMNVXTBADFAY-UHFFFAOYSA-N	49.47	0.022996615824113106	0.002	0.41835730300213264	CC1=C(N=NN1C2=CC(=CC=C2)OC)C(=O)NC3=CC=C(C=C3)OC
