target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR4M1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.027054120614089492	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR4M1	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.025246630597511945	0.0	0.0	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR4M1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.024607287073347358	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR4M1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.024565074656287607	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR4M1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.023890134870979633	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR4M1	SSGUXMZISLXZNI-UHFFFAOYSA-N	257	0.0230205054992317	0.0	0.0	C1CCC(CC1)C2=CC=C(C=C2)NC3=CC(=O)NC(=O)N3
OR4M1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.022486607375475937	0.0	0.0	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR4M1	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.022080492696132034	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR4M1	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.021630348773696854	0.003	0.4880182862002977	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR4M1	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.02121824728931584	0.001	0.29796307836111546	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR4M1	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.020527921139463515	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
OR4M1	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.020458427216896266	0.0	0.0	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR4M1	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.02040700601914064	0.001	0.29796307836111546	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR4M1	RPVGLMKJGQMQSN-UHFFFAOYSA-N	12.77	0.02028266055833125	0.002	0.41835730300213264	CC1=C2C=CC=NC2=C(C=C1)O
OR4M1	LUZUAYAKZLCOCQ-BHHNFLQBSA-N	4.71	0.020183438263675618	0.002	0.41835730300213264	COC1=CC(=O)C(=CC1=CC=CC2=CC=CC=C2)O
