target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR51Q1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.02617265569379151	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR51Q1	ZBHZRCBFWSEHBP-JYRVWZFOSA-N	12.22	0.02401938585558068	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=CO3
OR51Q1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.023699429852177788	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR51Q1	DLHRPFVERCOHRS-UHFFFAOYSA-N	129	0.022952057907310735	0.0	0.0	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
OR51Q1	WGERHUKJTHQUQT-UHFFFAOYSA-N	3.57	0.021835902367449807	0.002	0.41835730300213264	CC1=NC2=C(C=NN2C(=C1CC=C)NCC3=CN=CC=C3)C4=CC=CC=C4
OR51Q1	LITCKBAOXMKNTI-UHFFFAOYSA-N	68.7	0.021469681456642638	0.002	0.41835730300213264	CC1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)OCC#N
OR51Q1	JTBPQCSRFUMUMH-UHFFFAOYSA-N	81.82	0.021450099233413938	0.001	0.29796307836111546	C1=CC=C(C(=C1)NC(=O)C2=CN=CC=C2)SC3=CC=C(C=C3)Cl
OR51Q1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.02137226086561341	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR51Q1	RTIXKCRFFJGDFG-UHFFFAOYSA-N	20.77	0.020894168493907597	0.002	0.41835730300213264	C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
OR51Q1	VICVMWDESMOFHR-UHFFFAOYSA-N	49.47	0.02082207767939586	0.005	0.5664855018807571	CCC(C)C1=NN2C(=O)C(=CN=C2S1)NC(=O)C3=CC(=C(C=C3)OC)OC
OR51Q1	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.020147215000422942	0.003	0.4880182862002977	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR51Q1	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.018978111635279078	0.001	0.29796307836111546	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR51Q1	VKJGBAJNNALVAV-UHFFFAOYSA-N	7.24	0.018858522243030165	0.005	0.5664855018807571	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.Cl
OR51Q1	OZIVFRZKBDVKEO-GQCTYLIASA-N	72.76	0.018775644819460664	0.003	0.4880182862002977	C1=COC(=C1)C=C2C(=O)NC(=O)S2
OR51Q1	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.01846933928863671	0.001	0.29796307836111546	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
