target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR51T1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.024698288585309106	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR51T1	ZBHZRCBFWSEHBP-JYRVWZFOSA-N	12.22	0.02040140315583967	0.002	0.41835730300213264	C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=CO3
OR51T1	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.020074349330036566	0.001	0.29796307836111546	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR51T1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.020028613444094515	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR51T1	PSIDVLQBLHZTTJ-UHFFFAOYSA-N	234	0.01988467055341393	0.001	0.29796307836111546	CC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCOCC4
OR51T1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.01959838043335696	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR51T1	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.019215387275250087	0.0	0.0	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
OR51T1	RTIXKCRFFJGDFG-UHFFFAOYSA-N	20.77	0.01872142712696962	0.002	0.41835730300213264	C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
OR51T1	RTBNVSKSDOAVLP-UHFFFAOYSA-N	47.7	0.01750102699519247	0.007	0.6148789841094884	CC1=C(C(C2=C(N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(=O)OC)C(=O)OC
OR51T1	WGERHUKJTHQUQT-UHFFFAOYSA-N	3.57	0.01722173700547869	0.005	0.5664855018807571	CC1=NC2=C(C=NN2C(=C1CC=C)NCC3=CN=CC=C3)C4=CC=CC=C4
OR51T1	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.016894945696344425	0.001	0.29796307836111546	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
OR51T1	VFQQIAWYDBMZCG-UHFFFAOYSA-N	19.48	0.01679247217174127	0.003	0.4880182862002977	C1=CC(=CC=C1OCC(=O)NC2=CC(=CC(=C2)F)F)Cl
OR51T1	LITCKBAOXMKNTI-UHFFFAOYSA-N	68.7	0.01658722309355362	0.008	0.6327171980316751	CC1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)OCC#N
OR51T1	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.016533766685954344	0.005	0.5664855018807571	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR51T1	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.0163297281177989	0.003	0.4880182862002977	CN(C)C1=CC=C(C=C1)CN2CCCC2
