target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR5AC2	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.021045493735998407	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR5AC2	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.020564281532460163	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR5AC2	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.018177293810172326	0.0	0.0	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR5AC2	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.018155536210730187	0.003	0.4880182862002977	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR5AC2	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.018009957863235945	0.0	0.0	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR5AC2	WCZLZKLICVOKBC-UHFFFAOYSA-N	19.13	0.017829697820521122	0.002	0.41835730300213264	CCN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
OR5AC2	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.017583919372523307	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR5AC2	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.01741803643587474	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR5AC2	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.016857964888681277	0.002	0.41835730300213264	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR5AC2	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.016609423625076496	0.005	0.5664855018807571	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR5AC2	JMCCXTIGFGVBRZ-UHFFFAOYSA-N	398	0.015885489577636525	0.003	0.4880182862002977	COC1=CC(=C(C=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3)[N+](=O)[O-]
OR5AC2	OXAZPAPVJZTSMR-UHFFFAOYSA-N	155	0.015864345789301664	0.007	0.6148789841094884	CC1=C(C(NC(=O)N1CC2=CC=CC=C2)C3=C(C=CC4=CC=CC=C43)OC)[N+](=O)[O-]
OR5AC2	CYOXRSJAOKOHER-UHFFFAOYSA-N	670	0.015730579368678426	0.005	0.5664855018807571	CC1=C(C=CC(=C1)N2C(=O)C(=C(S2)Cl)C)Cl
OR5AC2	RTBNVSKSDOAVLP-UHFFFAOYSA-N	47.7	0.01570951963026614	0.006	0.5941059225512528	CC1=C(C(C2=C(N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(=O)OC)C(=O)OC
OR5AC2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.015483897990296648	0.007	0.6148789841094884	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
