target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR5P2	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.023432182585742915	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR5P2	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.022619181538481276	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR5P2	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.021349071103869296	0.0	0.0	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR5P2	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.020903050452185448	0.0	0.0	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR5P2	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.020066309481566468	0.002	0.41835730300213264	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR5P2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.019779758197878586	0.003	0.4880182862002977	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR5P2	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.018537217919287186	0.004	0.5339731285988484	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR5P2	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.018237717816253593	0.0	0.0	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR5P2	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.01780107641885558	0.004	0.5339731285988484	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR5P2	IHVRWFJGOIWMGC-NSCUHMNNSA-N	26.09	0.017774823267435985	0.003	0.4880182862002977	COC1=CC=C(C=C1)C=CC2=CC(=CC(=C2)O)O
OR5P2	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.017617780449991422	0.005	0.5664855018807571	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR5P2	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.017393636156738695	0.003	0.4880182862002977	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR5P2	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.01717625399684575	0.002	0.41835730300213264	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR5P2	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.01689625710750193	0.001	0.29796307836111546	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR5P2	OXAZPAPVJZTSMR-UHFFFAOYSA-N	155	0.016870273516628134	0.008	0.6327171980316751	CC1=C(C(NC(=O)N1CC2=CC=CC=C2)C3=C(C=CC4=CC=CC=C43)OC)[N+](=O)[O-]
