target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR5V1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.02490618417818963	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR5V1	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.023945417038475223	0.0	0.0	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR5V1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.02326595275016235	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR5V1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.022972948555279864	0.0	0.0	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR5V1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.020436660609096723	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR5V1	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.019897010152122807	0.0	0.0	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR5V1	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.019457431942944345	0.0	0.0	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR5V1	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.019159504378648416	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
OR5V1	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.018687807607796123	0.001	0.29796307836111546	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR5V1	YVVILFKWXBZXAA-UHFFFAOYSA-N	43.28	0.018622300369838203	0.005	0.5664855018807571	C1=CC(=CC=C1NC(=O)C2=CC(=CC(=C2O)Br)Br)Cl
OR5V1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.018432547771131323	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR5V1	SSGUXMZISLXZNI-UHFFFAOYSA-N	257	0.018116454722034336	0.001	0.29796307836111546	C1CCC(CC1)C2=CC=C(C=C2)NC3=CC(=O)NC(=O)N3
OR5V1	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.017828870509070924	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR5V1	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.017777353591496563	0.005	0.5664855018807571	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR5V1	MCDJQHQCVHCWJZ-XNTDXEJSSA-N	22.18	0.017501598858525935	0.003	0.4880182862002977	C1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CNC3=CC=C(C=C3)I
