target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR6K3	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.02291700293677288	0.003	0.4880182862002977	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR6K3	VNJVZJNBTWPKNX-UHFFFAOYSA-N	14.47	0.02131584991718559	0.002	0.41835730300213264	C1(=C(C(=NC(=C1Cl)Cl)C(Cl)(Cl)Cl)Cl)N
OR6K3	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.021141419993089293	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR6K3	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.02042014365531932	0.004	0.5339731285988484	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
OR6K3	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.020087008432703193	0.008	0.6327171980316751	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
OR6K3	WCZLZKLICVOKBC-UHFFFAOYSA-N	19.13	0.01940199038482738	0.007	0.6148789841094884	CCN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
OR6K3	IJMBZHALXJHWRA-UHFFFAOYSA-N	402.4	0.018781722327827412	0.015	0.7202865894226786	CCCCCCC1=CC2=CC(=C(C)NNC(=S)N)C(=O)OC2=CC1=O
OR6K3	LNMLBWYKIACOSF-UHFFFAOYSA-N	93.14	0.018352840123916962	0.014	0.7113908076514347	CC1=CC(=C(C=C1)O)NC(=S)NC(=O)C2=CC=CO2
OR6K3	CZKTYPOIXMVYQB-UHFFFAOYSA-N	268	0.018265673766803974	0.008	0.6327171980316751	C1=CC(=CC(=C1)Cl)C2=CC=C(O2)C3C(C(NC(=O)N3)(C(F)(F)F)O)C(=O)C4=CC=C(C=C4)Br
OR6K3	FEAZLKCNJJPQFD-UHFFFAOYSA-N	49.47	0.018190948218889006	0.01	0.6644404300776433	CC1=C(SC=C1C(=O)N2CCN(CC2)CCC3=CC=CC=C3)C
OR6K3	KCDVLESKXQDBPH-UHFFFAOYSA-N	27.8	0.018045927809511166	0.016	0.727692106483408	C1COCCN1C2=C(C3=NON=C3C(=C2)Cl)[N+](=O)[O-]
OR6K3	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.01765092171988559	0.008	0.6327171980316751	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR6K3	RTBNVSKSDOAVLP-UHFFFAOYSA-N	47.7	0.017631820399453577	0.006	0.5941059225512528	CC1=C(C(C2=C(N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(=O)OC)C(=O)OC
OR6K3	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.01739094306827376	0.014	0.7113908076514347	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
OR6K3	RGCKGOZRHPZPFP-UHFFFAOYSA-N	107.93	0.017384052350554128	0.015	0.7202865894226786	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O
