target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR8A1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.02263597450502504	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR8A1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.021947371492367838	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR8A1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.02113648497963068	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR8A1	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.01935109990153117	0.0	0.0	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR8A1	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.01844518750617612	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR8A1	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.01822596355313697	0.0	0.0	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR8A1	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.01797585707832134	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR8A1	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.01749627229951384	0.0	0.0	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
OR8A1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.017466078124972285	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR8A1	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.01695716130781255	0.001	0.29796307836111546	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR8A1	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.016893918781455627	0.003	0.4880182862002977	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR8A1	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.016831027184230258	0.002	0.41835730300213264	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR8A1	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.0165898613475542	0.004	0.5339731285988484	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR8A1	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.016467996918056463	0.001	0.29796307836111546	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR8A1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.016114014671365865	0.004	0.5339731285988484	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
