target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR8D1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.026116831341291676	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR8D1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.023934878380032075	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR8D1	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.020783475454905723	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR8D1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.020729559560571032	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR8D1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.020297917150641547	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR8D1	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.02002772832088812	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR8D1	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.019672192636273678	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR8D1	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.019485359724229736	0.001	0.29796307836111546	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR8D1	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.019176092898789784	0.0	0.0	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR8D1	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.019124994374352923	0.0	0.0	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
OR8D1	SSGUXMZISLXZNI-UHFFFAOYSA-N	257	0.01890355711783018	0.0	0.0	C1CCC(CC1)C2=CC=C(C=C2)NC3=CC(=O)NC(=O)N3
OR8D1	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.01856366706897164	0.0	0.0	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR8D1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.018423597568122597	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR8D1	SBNMWDVFZOGQLO-UHFFFAOYSA-N	49.47	0.018198200986790928	0.002	0.41835730300213264	CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2CN(C)C(=O)C
OR8D1	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.01792431050476503	0.0	0.0	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
