target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR8G2P	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.025367705972176587	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR8G2P	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.021917945027350942	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR8G2P	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.02116105215290021	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR8G2P	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.02109887145529547	0.0	0.0	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR8G2P	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.02105381414976684	0.0	0.0	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR8G2P	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.020560561290553062	0.001	0.29796307836111546	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR8G2P	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.018994494588674346	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR8G2P	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.018749032429202787	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR8G2P	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.01824727601502367	0.002	0.41835730300213264	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR8G2P	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.018191186033451216	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR8G2P	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.01818318103548121	0.001	0.29796307836111546	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR8G2P	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.01794852054144342	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR8G2P	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.017892888771538346	0.001	0.29796307836111546	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR8G2P	IHVRWFJGOIWMGC-NSCUHMNNSA-N	26.09	0.017777905040954223	0.003	0.4880182862002977	COC1=CC=C(C=C1)C=CC2=CC(=CC(=C2)O)O
OR8G2P	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.017332131363157848	0.003	0.4880182862002977	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
