target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
ORAI3	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.04554249428548178	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
ORAI3	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.042273160993291745	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
ORAI3	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.034608701943184925	0.0	0.0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
ORAI3	YPTKKTRAGNKREQ-UHFFFAOYSA-N	9.68	0.033398087350383444	0.003	0.4880182862002977	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=CC=C4I
ORAI3	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.032020888955574436	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
ORAI3	RZUHGAKUNBFQJS-UHFFFAOYSA-N	707.39	0.03188775074276734	0.006	0.5941059225512528	CN1CCC2=CC(=C(C3=C4C=C(C(=CC4=CC1=C23)OC)OC)OC)OC
ORAI3	JJWBORSJJGVQCB-UHFFFAOYSA-N	3.74	0.031754542585233345	0.001	0.29796307836111546	C1=CC2=C(C=C1[N+](=O)[O-])N=C3C(=C(C(=O)C(=C3Cl)Cl)Cl)O2
ORAI3	AYGGQJHJRFZDFH-UHFFFAOYSA-N	48.84	0.03131910714156968	0.002	0.41835730300213264	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
ORAI3	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.03084012730927318	0.002	0.41835730300213264	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
ORAI3	OTHFNJOXUKOBFG-UHFFFAOYSA-N	11.52	0.03034165492740411	0.001	0.29796307836111546	CCN1CCOC(=O)C1CC(=O)NC2=CC(=C(C=C2)C)C
ORAI3	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.03018768149742117	0.002	0.41835730300213264	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
ORAI3	PFXDCKOSCNEUJF-RKLIXYOZSA-N	32.26	0.03010264888585359	0.002	0.41835730300213264	CN(C)C=CC=C1CCC2=CC=CC=C2C1=O
ORAI3	OJNHXCUBYFNKTH-RAXLEYEMSA-N	154.43	0.030062899827094133	0.002	0.41835730300213264	COC1=CC=CC=C1C=C2C(=O)C3CCN2CC3
ORAI3	RFAXLXKIAKIUDT-UHFFFAOYSA-N	2.69	0.029716107293917597	0.006	0.5941059225512528	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
ORAI3	KPNSXQNKDQMBAW-WYDVDPGPSA-N	41.2	0.029647533324201912	0.001	0.29796307836111546	CC(C)[Si]1(OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O[Si](O1)(C(C)C)C(C)C)C(C)C
