target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
PANX1	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.03368495361151682	0.0	0.0	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
PANX1	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.03334831920694454	0.001	0.29796307836111546	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
PANX1	UVOYRRXVWKDTKA-UHFFFAOYSA-N	18	0.02830568711037931	0.006	0.5941059225512528	CC1=C(SC(=N1)N)C2=CSC(=N2)NC3=CC=C(C=C3)Cl
PANX1	QDFJDWXCNLXZGJ-UHFFFAOYSA-N	191	0.02789192273502051	0.006	0.5941059225512528	CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)OC)C3=C(C=CC(=C3)OC)OC
PANX1	HFWWPJGYQOWDNB-MFOYZWKCSA-N	191	0.027329109734832834	0.008	0.6327171980316751	COC1=C(C=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)Br)O
PANX1	GQQAMHRIHJIXIJ-UHFFFAOYSA-N	195	0.027065666449151326	0.007	0.6148789841094884	COC1=CC2=C(C=C1)C=C(C(=NC3=CC=C(C=C3)C(=O)N)O2)C4=NC5=CC=CC=C5N4
PANX1	RFAXLXKIAKIUDT-UHFFFAOYSA-N	2.69	0.025593859408596997	0.014	0.7113908076514347	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
PANX1	WWGHWYVWPOSYTN-UHFFFAOYSA-N	48.8	0.02490738162884699	0.01	0.6644404300776433	CC1=NC(=C2C3=C(CCCC3)SC2=N1)NCC4=CC=CS4
PANX1	PFXDCKOSCNEUJF-RKLIXYOZSA-N	32.26	0.024674493746489477	0.013	0.7012571742839818	CN(C)C=CC=C1CCC2=CC=CC=C2C1=O
PANX1	BWQZSJGKWVZDQV-UHFFFAOYSA-N	25.81	0.024663170974614936	0.009	0.6494849736827212	C1=CC=C(C(=C1)C2=NC3=CC=CC=C3S2)NC=C4C=C(C=CC4=O)Br
PANX1	SWUARLUWKZWEBQ-VQHVLOKHSA-N	100	0.0239805470999471	0.014	0.7113908076514347	C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
PANX1	NKANXQFJJICGDU-QPLCGJKRSA-N	10.92	0.02368670384020794	0.013	0.7012571742839818	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
PANX1	PRWIOEGVJASEDF-UHFFFAOYSA-N	154	0.023686560882997223	0.02	0.7564117775009392	C1=CC=C(C=C1)CCN2C(=O)C3=C(C=CS3)NC2=S
PANX1	DXEIEBNCIPTQFP-UHFFFAOYSA-N	200	0.02361487492080317	0.019	0.7489823574269874	CC1=CC2=C(C=C1)N=C(N=C2C)N=C(N)N
PANX1	XHBZOAYMBBUURD-UHFFFAOYSA-N	44.17	0.022578986806921043	0.022	0.7671282200871452	COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O
