target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
S1PR3	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.02637197263118643	0.0	0.0	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
S1PR3	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.02329422227997633	0.002	0.41835730300213264	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
S1PR3	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.02222769597090058	0.005	0.5664855018807571	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
S1PR3	IUCZVBKANJIZKR-UHFFFAOYSA-N	16.19	0.02133192272106961	0.006	0.5941059225512528	CC(C)NC1=NC(=NC2=CC=CC=C21)C3=CC=C(C=C3)Cl
S1PR3	RSNBFKZVWOMMNM-UHFFFAOYSA-N	98.6	0.02069222896271986	0.008	0.6327171980316751	Oc1c(Cl)cc(CN2CCN(CC2)c3cccc(c3)C(F)(F)F)c4cccnc14
S1PR3	ZUPRUYKDNMXKSG-UHFFFAOYSA-N	338	0.019812182606519464	0.013	0.7012571742839818	COC1=CC=C(C=C1)C2=CN3C4=CC=CC=C4N=C3N2CCN5CCCC5
S1PR3	LJOQGZACKSYWCH-NBGVHYBESA-N	100	0.0198071405442359	0.01	0.6644404300776433	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
S1PR3	TXPJEMCJURHBHH-UHFFFAOYSA-N	34.5	0.01970849119758474	0.008	0.6327171980316751	CC1=CC=C(C=C1)C2CC(=NC3=CC=CC=C3N2)C4=CC5=CC=CC=C5OC4=O
S1PR3	RJUTVACDIZQGRJ-UHFFFAOYSA-O	65.7	0.019619780173623078	0.011	0.6772097402388386	CC[NH2+]C1CCCC2=C1NC3=C2C=C(C=C3)C
S1PR3	DDKJECHBDWLFFD-UHFFFAOYSA-N	460	0.019468862784360618	0.007	0.6148789841094884	CC1=CC=C(C=C1)C(=O)NC2=C(C=C(S2)C)C(=O)O
S1PR3	RFAXLXKIAKIUDT-UHFFFAOYSA-N	2.69	0.018980971893956373	0.01	0.6644404300776433	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
S1PR3	SDLPADBAAMHWQB-UHFFFAOYSA-N	200	0.018660498510980082	0.013	0.7012571742839818	C1=CC2=C(C(=C1)O)N=C(C=C2)C(=O)N
S1PR3	PMAQASWXSNJAOL-UHFFFAOYSA-N	19.8	0.018370272943379486	0.014	0.7113908076514347	CC(C)CC1=NN=C2N1N=C(S2)C3=CC(=CC=C3)N(C)C
S1PR3	RPZKGAKKVJTKEW-UHFFFAOYSA-N	65.1	0.018332232899665853	0.016	0.727692106483408	CC(C)C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)OC(=O)C=C3
S1PR3	RHTVPWVESMJUOP-BAQGIRSFSA-N	86.1	0.018234083137279988	0.02	0.7564117775009392	C1OC2=C(O1)C=C(C=C2)C=C(C#N)C(=S)N
