target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
SCN11A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.08559586482614502	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
SCN11A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.07761932784532753	0.0	0.0	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
SCN11A	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.0754408858717034	0.0	0.0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
SCN11A	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.0716724366394859	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
SCN11A	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0716652129904716	0.0	0.0	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
SCN11A	VCIRVTJQPNZIIS-UHFFFAOYSA-N	9.27	0.07096759621891321	0.0	0.0	CC(=O)OC(C12C=CC(O1)C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)OC(=O)C
SCN11A	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.07059730418251144	0.0	0.0	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
SCN11A	AIYDBDAYQJBCRS-UHFFFAOYSA-M	19.4	0.0697651579139357	0.0	0.0	CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=C(C=C4)C)C)C(C)C.[Cl-]
SCN11A	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.0682609030041828	0.001	0.29796307836111546	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
SCN11A	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.06805071196557932	0.002	0.41835730300213264	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
SCN11A	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.06630414145731994	0.001	0.29796307836111546	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
SCN11A	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.0657820051204138	0.001	0.29796307836111546	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
SCN11A	RNFNDJAIBTYOQL-UHFFFAOYSA-N	100	0.06382958064592442	0.004	0.5339731285988484	C(C(Cl)(Cl)Cl)(O)O
SCN11A	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.06352760032256154	0.003	0.4880182862002977	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
SCN11A	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.06336772509198758	0.002	0.41835730300213264	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
