target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
SCNN1A	ZJUYFVFLWINXFD-UHFFFAOYSA-N	200	0.2704450190067291	3.7373738288879395	0.0	59	0.0	C1=CC(=C(C=C1C(=O)NCC2=CC=NC=C2)Cl)Cl
SCNN1A	KNMBHGSZDTURIO-UHFFFAOYSA-N	42.78	0.17860578000545502	3.5591678619384766	0.001	59	0.29262452107279696	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
SCNN1A	YHXZJZATPFHLGR-SNAWJCMRSA-N	64.1	0.24519354104995728	3.4262616634368896	0.001	59	0.29262452107279696	C1=CN=C(N=C1)NC(=O)C=CC2=CC=CS2
SCNN1A	CMCGHRHRAQYHQQ-UHFFFAOYSA-N	476	0.1610652506351471	3.3670425415039062	0.002	59	0.389171974522293	C1=CC=C(C=C1)C2=CN(C(=N2)SCC(=O)NC3=CC=CC=C3Cl)C4=CC=CC=C4
SCNN1A	PXKDPADCRZHGOW-DNMQNISESA-N	19.4	0.1296575367450714	3.3609349727630615	0.001	59	0.29262452107279696	C1=CC=C2C(=C1)NC(=C3C=C(C=CC3=O)N=CC=CC4=CC(=CC=C4)Br)S2
SCNN1A	PHBXCQHBDGMLOV-UHFFFAOYSA-N	26.1	0.19902878999710083	3.357025146484375	0.002	59	0.389171974522293	CC1=CC=CC=C1NC(=O)CSC2=NC(=C(C(=C2C#N)C3=CC(=C(C=C3)OC)OC)C(=O)NC4=CC=CC=C4)C
SCNN1A	VWWIZWZCXNZMNC-UHFFFAOYSA-N	8.15	0.14625591039657593	3.1862902641296387	0.006	59	0.5429502369668247	CCC1=CC2=C(C=C1)OC(=C3C=C(C=CC3=O)NC=C4C=CC=C(C4=O)OC)N2
SCNN1A	TZMXCFNRWDJQJM-UHFFFAOYSA-N	198.39	0.16471651196479797	3.1331777572631836	0.005	59	0.5192046227056424	C1=CC=C(C=C1)OCC(=O)C2=C(C=C(C=C2)O)O
SCNN1A	VUPXFUMCXLXTED-UHFFFAOYSA-N	211	0.14548909664154053	3.0759639739990234	0.004	59	0.4991830065359477	CC1=CC(=C(C(=C1)N=CC2=CC=C(C=C2)OC(=O)C3=CC=C(C=C3)Cl)O)C
SCNN1A	YFKFJHGNRYDDBF-UHFFFAOYSA-O	156	0.14818985760211945	2.9833738803863525	0.002	59	0.389171974522293	C1=CC=C(C=C1)C(=O)NC2=C[N+](=CC=C2)CC(=O)C3=CC=CC4=CC=CC=C43
SCNN1A	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.1438097059726715	2.9567863941192627	0.0	59	0.0	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
SCNN1A	FGIQAVBDULQHRW-CMDGGOBGSA-N	11.6	0.1560474932193756	2.9036359786987305	0.007	59	0.56069743051914	C1=CC=C2C(=C1)NC(=N2)C=CC3=CC(=CC=C3)[N+](=O)[O-]
SCNN1A	NAUVDUAFMRTQQN-UHFFFAOYSA-N	38.1	0.1279802918434143	2.8987834453582764	0.002	59	0.389171974522293	CC1=CC=C(C=C1)NC2=C3CCCC3=NC4=CC=CC=C42
SCNN1A	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.27785035967826843	2.8542964458465576	0.002	59	0.389171974522293	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
SCNN1A	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	0.17046330869197845	2.851639747619629	0.006	59	0.5429502369668247	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
