target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TAAR9	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.028869136204867793	0.001	0.29796307836111546	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
TAAR9	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.026074100077377167	0.0	0.0	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
TAAR9	MOBUVCKLGDJANF-UHFFFAOYSA-N	50.2	0.02568449909532854	0.001	0.29796307836111546	COC(=O)C1=C(OC2=C(C1C3=C(C=CC(=C3)Cl)Cl)OC(=CC2=O)CO)N
TAAR9	IBXCKSUZOFKGSB-UHFFFAOYSA-N	57.8	0.02514819399677415	0.004	0.5339731285988484	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC)O)O
TAAR9	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.022974092978402215	0.007	0.6148789841094884	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
TAAR9	IDYLOMJSJGBBMS-UHFFFAOYSA-N	7.48	0.02251219221391829	0.005	0.5664855018807571	CCOC(=O)C(=O)NNC1=CC=C(C=C1)Cl
TAAR9	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.022149245527698213	0.001	0.29796307836111546	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
TAAR9	MZGNZMHWZIUVQL-UHFFFAOYSA-N	49.47	0.022135431557423185	0.008	0.6327171980316751	C1CN(CCN1CC(=O)NC2=CC=C(C=C2)F)C3=CC=CC(=C3)C(F)(F)F
TAAR9	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.022079222212095018	0.004	0.5339731285988484	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
TAAR9	RPZKGAKKVJTKEW-UHFFFAOYSA-N	65.1	0.022038918607531526	0.004	0.5339731285988484	CC(C)C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)OC(=O)C=C3
TAAR9	RSNBFKZVWOMMNM-UHFFFAOYSA-N	98.6	0.021942652338613186	0.007	0.6148789841094884	Oc1c(Cl)cc(CN2CCN(CC2)c3cccc(c3)C(F)(F)F)c4cccnc14
TAAR9	WLZWDDYKFCFOOZ-UHFFFAOYSA-N	64.38	0.021823636856042924	0.001	0.29796307836111546	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CC=C5)C(F)(F)F
TAAR9	OMICQBVLCVRFGN-UHFFFAOYSA-N	42	0.021257413935629473	0.008	0.6327171980316751	COC1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2
TAAR9	SDLPADBAAMHWQB-UHFFFAOYSA-N	200	0.020993704201601418	0.009	0.6494849736827212	C1=CC2=C(C(=C1)O)N=C(C=C2)C(=O)N
TAAR9	NQYHVOHJXIJILU-UHFFFAOYSA-N	89.62	0.020900685539295454	0.009	0.6494849736827212	CCCCC(CC)C(=O)NC1=NC2=C(S1)C=C(C=C2)S(=O)(=O)C
