target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TAS2R38	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.03337572231416168	0.001	0.29796307836111546	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
TAS2R38	CSCVLIGUSJOZFN-UHFFFAOYSA-N	82.8	0.02877597015092018	0.005	0.5664855018807571	C1CCC2=C(C1)C3=C(S2)N=CN(C3=O)NC=C4C=CC=C(C4=O)[N+](=O)[O-]
TAS2R38	PUHQMJSQZPUXJP-UHFFFAOYSA-N	10	0.028590575492319647	0.003	0.4880182862002977	C1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)O4
TAS2R38	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.02857532350262213	0.003	0.4880182862002977	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
TAS2R38	TYWCNIPWHLUZQB-UHFFFAOYSA-N	151	0.027929409630497174	0.007	0.6148789841094884	C1C2CC3CC1CC(C2)C3NC(=O)C4=CC=CC=N4
TAS2R38	LFVYDUHHPGRLAT-UHFFFAOYSA-N	77.3	0.027703665104836114	0.009	0.6494849736827212	C1=CC(=CC=C1N)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
TAS2R38	XTQXACZULRWFPY-UHFFFAOYSA-N	1.35	0.02738632241696858	0.006	0.5941059225512528	CC1=C(C(=O)C2=C(C1=O)C(=C(C(=C2F)F)F)F)F
TAS2R38	MOFCRSVSBIEORS-UHFFFAOYSA-N	158	0.025890106453402024	0.003	0.4880182862002977	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=CC=C2)[N+](=O)[O-])C
TAS2R38	HKDOQQYMNWPUBN-UHFFFAOYSA-N	61.7	0.025868603665417038	0.012	0.6894826964671954	CCCCCCCN1C=NC2=CC=CC=C2C1=O
TAS2R38	GVFVOLLPFJNCPC-UHFFFAOYSA-N	159	0.025829431866252448	0.01	0.6644404300776433	COC1=CC=CC(=CNC2=C(C=C(C=C2)Br)C(=O)O)C1=O
TAS2R38	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.025828429910198136	0.007	0.6148789841094884	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
TAS2R38	BKYWTITVOOQXFJ-UHFFFAOYSA-N	265	0.02582636525811538	0.005	0.5664855018807571	CC1=C(C=C(C=C1)N2N=C3C=CC(=CC3=N2)NC(=O)C4=CC5=CC=CC=C5O4)Cl
TAS2R38	WSBUHLCNENMCJP-UHFFFAOYSA-N	118	0.02565417955663296	0.014	0.7113908076514347	COC1=CC=CC=C1NC(=O)C2=CC(=CC=C2)Cl
TAS2R38	MWFZDJLPWDCQIL-UHFFFAOYSA-N	1.3	0.024746163004665693	0.016	0.727692106483408	CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]
TAS2R38	BYBLEWFAAKGYCD-UHFFFAOYSA-N	1.31	0.024214660359471236	0.015	0.7202865894226786	C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
