target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TMEM109	AVAFAFDOURGYKI-UHFFFAOYSA-N	67.46	0.12343258937637648	0.0	0.0	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N
TMEM109	JZWGCONBFOFQTA-UHFFFAOYSA-N	27.7	0.12203177689966208	0.0	0.0	C1=CC=NC(=C1)C(=NOC(=O)COC2=CC=C(C=C2)Cl)N
TMEM109	KNEPKOQSGFSSJJ-UHFFFAOYSA-N	172	0.09683821941765394	0.0	0.0	CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-])F
TMEM109	YLLFUILNISGLHO-UHFFFAOYSA-N	78.7	0.09672041131588577	0.0	0.0	COC1=CC=CC2=C1C(=O)CC(O2)C3=CC=CC=C3
TMEM109	FQLPGRTTWAZLNW-UHFFFAOYSA-N	27.3	0.09116411142536657	0.0	0.0	C1CCCC(CC1)N2CCN(CC2)CC3=CC=C(C=C3)Cl
TMEM109	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	0.09054142530426575	0.004	0.5339731285988484	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
TMEM109	LRKFCELHJPQGDJ-UHFFFAOYSA-N	200	0.09018206261409484	0.001	0.29796307836111546	CC1=CC(=C(C=C1)OCCN)C.Cl
TMEM109	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.0900601452728242	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
TMEM109	UJVNRQROVHLQAP-UHFFFAOYSA-O	10.1	0.08940756254611094	0.0	0.0	C1=CC=C(C=C1)C(=O)C[N+]2=CC=CC(=C2)C(=O)NNC=C3C(=O)C=CC4=CC=CC=C43
TMEM109	HPNSFSBZBAHARI-RUDMXATFSA-N	780.42	0.08781016696466595	0.001	0.29796307836111546	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC
TMEM109	QCEXFVBEVUCEAA-PKNBQFBNSA-N	32.13	0.08505762083034368	0.001	0.29796307836111546	CC(=CC1=CC=CC=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-]
TMEM109	HZFBXPDDUCZHGX-UHFFFAOYSA-N	1.02	0.084868692004179	0.001	0.29796307836111546	C1=CC=C(C=C1)CS(=O)(=O)C2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
TMEM109	LISHZYHLVLUKFD-UHFFFAOYSA-N	24.5	0.08426117893932573	0.002	0.41835730300213264	C1=CC(=CN=C1)NC=C2C=C(C=C(C2=O)Br)Br
TMEM109	PASBFQMDQRGJBH-UHFFFAOYSA-N	172	0.08369451670049308	0.005	0.5664855018807571	C1CCC(CC1)NC(=S)NC2=CC=CC=C2
TMEM109	CCEVJKZHAJJQJR-QPJJXVBHSA-N	3.01	0.08316913583762843	0.003	0.4880182862002977	CC(=CC1=CC2=C(C=C1)OCO2)[N+](=O)[O-]
