target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TMEM38B	DNJVYWXIDISQRD-ZCGYEUDWSA-N	54.53	0.03144953316188239	0.006	0.5941059225512528	CC12CCC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3
TMEM38B	NKANXQFJJICGDU-QPLCGJKRSA-N	10.92	0.031241396835292437	0.006	0.5941059225512528	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
TMEM38B	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.03122789313231755	0.007	0.6148789841094884	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
TMEM38B	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.031009828440421112	0.006	0.5941059225512528	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
TMEM38B	DYBPKAJTBVNVBW-UHFFFAOYSA-N	272.08	0.030608074560444856	0.005	0.5664855018807571	CCCCCCC1=CC=C(C=C1)NC=C2C=CC(=CC2=O)OCC(C)CC
TMEM38B	HFWWPJGYQOWDNB-MFOYZWKCSA-N	191	0.029577535305774356	0.009	0.6494849736827212	COC1=C(C=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)Br)O
TMEM38B	IDYLOMJSJGBBMS-UHFFFAOYSA-N	7.48	0.029237991506895846	0.008	0.6327171980316751	CCOC(=O)C(=O)NNC1=CC=C(C=C1)Cl
TMEM38B	QDFJDWXCNLXZGJ-UHFFFAOYSA-N	191	0.029168900107946007	0.005	0.5664855018807571	CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)OC)C3=C(C=CC(=C3)OC)OC
TMEM38B	NIXKHMFOWNKKTK-UHFFFAOYSA-N	480	0.02884100800454987	0.01	0.6644404300776433	C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)C(=O)O)N=C2C4=CC=C(C=C4)F)F
TMEM38B	CJCSPKMFHVPWAR-JTQLQIEISA-N	94.69	0.028363902611092177	0.017	0.7355584336259163	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N
TMEM38B	OKVBCYAGTPSVNT-CVKSISIWSA-N	26.45	0.027665081101339355	0.009	0.6494849736827212	C1C2CC3CC1CC(C3)(C2)c4ccc(cc4)N=Cc5c[nH]c6ccccc56
TMEM38B	VDTSDIJKBVWZFG-UHFFFAOYSA-N	55.36	0.027403047896370714	0.014	0.7113908076514347	CCCCOC1=CC=C(C=C1)C2C3=C(C=CC(=C3)O)OC(=C2C#N)N
TMEM38B	MWUKVAZSLDCXIQ-ZSOIEALJSA-N	41.5	0.027116847889518892	0.007	0.6148789841094884	COC(=O)C1=C(C=CS1)NN=CC2=CN=CC=C2
TMEM38B	YZXBAPSDXZZRGB-UHFFFAOYSA-N	100	0.026827752549506922	0.009	0.6494849736827212	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
TMEM38B	VXOBVHAUXZVHTL-UHFFFAOYSA-N	39.94	0.02681015272714724	0.016	0.727692106483408	CC(=O)OC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)OC)OC(=O)C
