target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TRPA1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.07283788525328799	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
TRPA1	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.06543277523248736	0.0	0.0	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
TRPA1	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.06311314635567336	0.0	0.0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
TRPA1	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.05927880747386885	0.003	0.4880182862002977	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
TRPA1	DTQIEGZLOXESHQ-UHFFFAOYSA-N	59.9	0.05788064059965746	0.001	0.29796307836111546	C1=CC=C(C(=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-])Cl
TRPA1	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.05568242605204762	0.001	0.29796307836111546	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
TRPA1	NXBSFISOTGDCJX-UHFFFAOYSA-N	53.13	0.05536952477185142	0.003	0.4880182862002977	CC(C1=CC=C(C=C1)Br)NC2=C(C=CC(=C2)N3CCN(CC3)CCO)[N+](=O)[O-]
TRPA1	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.055191446306406024	0.002	0.41835730300213264	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
TRPA1	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.05331117521942643	0.004	0.5339731285988484	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
TRPA1	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.05176724797791695	0.007	0.6148789841094884	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
TRPA1	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.05158445537824987	0.005	0.5664855018807571	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
TRPA1	ZLHVIYHWWQYJID-UHFFFAOYSA-N	55.5	0.051531106631067095	0.004	0.5339731285988484	C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)O
TRPA1	PHBXCQHBDGMLOV-UHFFFAOYSA-N	26.1	0.05119171690366283	0.008	0.6327171980316751	CC1=CC=CC=C1NC(=O)CSC2=NC(=C(C(=C2C#N)C3=CC(=C(C=C3)OC)OC)C(=O)NC4=CC=CC=C4)C
TRPA1	GRSZKDCOHSSIAJ-NTEUORMPSA-N	37.28	0.051166872903303726	0.003	0.4880182862002977	C1=CC=C(C(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3Cl)F
TRPA1	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.050983663049169556	0.006	0.5941059225512528	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
