target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
UTS2R	BAJVTNDELBXKDE-UHFFFAOYSA-N	87.6	0.028940997885838458	0.0	0.0	C1=COC(=C1)C(=O)C2=COC3=C2C=C(C=C3)O
UTS2R	MGWUMZFAYGKELJ-JXMROGBWSA-N	29.05	0.028027226864312027	0.001	0.29796307836111546	CSC1=CC=C(C=C1)C=CC(=O)C2=CC(=CC=C2)N
UTS2R	SAUCFRMQUANKAQ-UHFFFAOYSA-N	45.45	0.02712062030103857	0.0	0.0	CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)F)F
UTS2R	WDJUZGPOPHTGOT-KSVSUYAUSA-N	100	0.027067239619395406	0.0	0.0	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
UTS2R	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.02689333112027358	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
UTS2R	VNCNRGORRVUAOZ-UHFFFAOYSA-N	199.3	0.026209155205207422	0.001	0.29796307836111546	C1=CSC(=C1)C=C2C(=O)NC(=O)NC2=O
UTS2R	WPDRRLRCCIWCEV-UHFFFAOYSA-N	38.63	0.025302419230409448	0.0	0.0	CC1=CC(=CC=C1)NC(=O)CC2C(=O)OC3=CC=CC=C3N2
UTS2R	IXEZJRBBSZMJNU-UHFFFAOYSA-N	9.97	0.024869404610561127	0.002	0.41835730300213264	CCCCCCCC1=CC=C(C=C1)C(=O)CBr
UTS2R	JKNIBRIKXPAWMV-UHFFFAOYSA-N	71.43	0.024724575401881086	0.003	0.4880182862002977	COC(=O)C1=CC=C(C=C1)NC(=O)CSC2=CC(=CC=C2)Cl
UTS2R	XFSHOUNLXGXSBL-UHFFFAOYSA-N	71.43	0.024599031604827893	0.001	0.29796307836111546	C1=CC(=CC(=C1)F)NC(=O)CSC2=CC=C(C=C2)F
UTS2R	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.024543392658780475	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
UTS2R	TVWLCJVDJFYZSD-UHFFFAOYSA-N	91.6	0.02454205451071798	0.005	0.5664855018807571	CC1=C(C(=O)OC2=C1C=CC(=C2C)OC)C
UTS2R	XZMALMMMMORCLK-UHFFFAOYSA-N	49.47	0.024323661770373907	0.003	0.4880182862002977	CC1=C(C=C(C=C1)C(=O)NC2=C(C(=CC=C2)Cl)N3CCN(CC3)C(=O)C)C
UTS2R	MNWKVEIZMVREIO-VQHVLOKHSA-N	169.91	0.024198871794226928	0.004	0.5339731285988484	CCN1C(=O)C(=CC2=CC=CC=N2)SC1=S
UTS2R	CFURALIVNOYQDS-UHFFFAOYSA-N	61.76	0.023689955471290002	0.003	0.4880182862002977	CC(=O)NC1C2=CC=CC=C2N(C1=O)CCOC3=CC=CC=C3Cl
