target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
ADGRG7	GHWYJRRNNWVCPM-UHFFFAOYSA-N	40	0.10736170411109924	3.372847557067871	0.0	128	0.0	C1=CC=C(C=C1)NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
ADGRG7	QHWIEZWTYSRXEP-UHFFFAOYSA-N	20.6	0.19351622462272644	3.218370199203491	0.002	128	0.46712538226299694	C1=CC=C2C(=C1)C(=NC(=S)N2)NCC3=CC=C(C=C3)Cl
ADGRG7	NGNPEAMSQLFTCG-MRUKODCESA-N	107	0.26703256368637085	3.100834608078003	0.001	128	0.3511494252873563	COC1=C(C(=CC(=C1)C=NNC(=O)C2=CC(=C(C(=C2)O)O)O)Br)OCC3=CC=CC=C3Cl
ADGRG7	HJJNYMFYCLBSGB-OCKHKDLRSA-N	58.6	0.21989895403385162	2.894646406173706	0.003	128	0.5273302646720368	C1=CC=C2C(=C1)NC(=N2)NN=CC3=CC(=CC=C3)C(F)(F)F
ADGRG7	YRXOQXUDKDCXME-YIVRLKKSSA-N	3.3	0.2345578819513321	2.8281288146972656	0.003	128	0.5273302646720368	CCCCCCCCCCCCCC=CC(C(CO)N(C)C)O
ADGRG7	HLOOVTMYBRRYOP-UHFFFAOYSA-N	611	0.1539899855852127	2.726813793182373	0.004	128	0.5631336405529954	CC(C)(C)C1=CC(=C(C(=C1)N=CC2=CC=C(C=C2)F)O)C(C)(C)C
ADGRG7	GHRQDNKXGRCCNU-UHFFFAOYSA-N	200	0.12827542424201965	2.7095744609832764	0.007	128	0.6220186154741129	C1=COC(=C1)CN2C(=CC(=O)NC2=O)N
ADGRG7	CMONWUQZZQGYMH-UHFFFAOYSA-N	266	0.12509384751319885	2.60001802444458	0.008	128	0.6348051948051948	COC1=CC(=C(C=C1)C=NC2=CC=C(C=C2)C34CC5CC(C3)CC(C5)C4)OC
ADGRG7	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.2516648471355438	2.569946765899658	0.011	128	0.6654455445544555	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
ADGRG7	ZUXABONWMNSFBN-UHFFFAOYSA-N	122	0.213625967502594	2.569895029067993	0.011	128	0.6654455445544555	CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
ADGRG7	BFZJGFQSMYAJRC-UHFFFAOYSA-N	114	0.2461753487586975	2.5250329971313477	0.011	128	0.6654455445544555	C1C(OC2=CC=CC=C2O1)C3=CSC4=C3C(=O)NC=N4
ADGRG7	VYBIVKRSLHNZBZ-UHFFFAOYSA-N	40	0.1335054337978363	2.5205326080322266	0.009	128	0.6451196621304552	CC1=CC2=C(C=C1)OC(=N2)C3=CC(=CC=C3)NC=C4C=C(C=C(C4=O)OC)Br
ADGRG7	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	0.14427146315574646	2.506716251373291	0.006	128	0.6065519523494375	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
ADGRG7	YJRJARYHRGMBPL-UHFFFAOYSA-N	111.64	0.12525488436222076	2.489983081817627	0.008	128	0.6348051948051948	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC4=CC(=CC=C4)Br
ADGRG7	QTQAWLPCGQOSGP-KSRBKZBZSA-N	89.2	0.20903773605823517	2.489014148712158	0.009	128	0.6451196621304552	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC
