target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
CACNB1	PEQZOEXMRCACPF-UHFFFAOYSA-N	25.49	0.1389700174331665	3.767000198364258	0.0	131	0.0	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=C(C=C(C2=O)Br)Br
CACNB1	HLOOVTMYBRRYOP-UHFFFAOYSA-N	611	0.15934352576732635	3.4357693195343018	0.001	131	0.3511494252873563	CC(C)(C)C1=CC(=C(C(=C1)N=CC2=CC=C(C=C2)F)O)C(C)(C)C
CACNB1	BKYWTITVOOQXFJ-UHFFFAOYSA-N	265	0.13045203685760498	3.356262445449829	0.0	131	0.0	CC1=C(C=C(C=C1)N2N=C3C=CC(=CC3=N2)NC(=O)C4=CC5=CC=CC=C5O4)Cl
CACNB1	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.13548631966114044	3.3179070949554443	0.0	131	0.0	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
CACNB1	ZJUYFVFLWINXFD-UHFFFAOYSA-N	200	0.23509587347507477	3.287645101547241	0.0	131	0.0	C1=CC(=C(C=C1C(=O)NCC2=CC=NC=C2)Cl)Cl
CACNB1	KSQLDHQWAGRRMQ-UHFFFAOYSA-N	14.9	0.13095882534980774	3.109609365463257	0.002	131	0.46712538226299694	CCCCCCCC1=CNC(=C2C=CC(=O)C(=C2)F)C=C1
CACNB1	POYKQEMKERARGZ-PTNGSMBKSA-N	136	0.1363590955734253	3.08229660987854	0.002	131	0.46712538226299694	CCCCN1C2=CC=CC=C2C(=NNC(=S)N)C1=O
CACNB1	ZOCSXAVNDGMNBV-UHFFFAOYSA-N	114	0.39480483531951904	3.06180477142334	0.002	131	0.46712538226299694	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F
CACNB1	PVHUJELLJLJGLN-UHFFFAOYSA-N	139	0.3656383752822876	3.053759813308716	0.003	131	0.5273302646720368	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
CACNB1	QQDNVANLYYGZIH-UHFFFAOYSA-O	82.3	0.27069252729415894	3.0498483180999756	0.004	131	0.5631336405529954	C1=CC=C(C=C1)C[N+]2=CC=CC(=C2)C(=O)NNC=C3C(=O)C=CC4=CC=CC=C43
CACNB1	KYUSTKYOXPSKCA-UHFFFAOYSA-N	84.7	0.14657799899578094	3.0141851902008057	0.001	131	0.3511494252873563	C1CN(CCN1CC2=CC(=CC=C2)Br)CC3=CC(=CC=C3)Br
CACNB1	FHOXHLNJQGNWRP-UHFFFAOYSA-N	46	0.15709969401359558	3.0054187774658203	0.002	131	0.46712538226299694	COC1=CC(=C(C=C1)O)CN2CCN(CC2)CC3=CC(=CC=C3)Cl
CACNB1	NNLFMLKGPMHEAF-UHFFFAOYSA-N	22.4	0.12044743448495865	2.9340145587921143	0.005	131	0.5929736024844721	C1=CC(=C(C=C1NC=C2C=C(C=C(C2=O)Br)Br)Cl)F
CACNB1	FMVFWGAIQDFXJM-UHFFFAOYSA-N	94.4	0.12398882955312729	2.9284281730651855	0.005	131	0.5929736024844721	CC1=CC(=C(C=C1)C)OCC2=NC(=NO2)C3=CC=NC=C3
CACNB1	WGOZGLWOMICCLV-UHFFFAOYSA-N	132	0.13030870258808136	2.901414394378662	0.006	131	0.6065519523494375	C1CN(CCN1C2=NC3=C(C=C(C=C3)Br)C(=N2)C4=CC=CC=C4)C(=O)CCC(=O)O
