target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
CNGA1	VGGVWXJWWBYLBZ-UHFFFAOYSA-N	71.43	0.18808357417583466	4.885721206665039	0.0	133	0.0	C1=CC(=CN=C1)CNC2=NC(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)Cl
CNGA1	DBYCNQVGNFVMCT-UHFFFAOYSA-N	200	0.1477634757757187	4.874766826629639	0.0	133	0.0	C1CN(CCN1C2=CC=CC=C2)C(=N)N.O.OS(=O)(=O)O
CNGA1	XGIHSLWERDNSQU-UHFFFAOYSA-N	4	0.16566678881645203	4.592794418334961	0.0	133	0.0	C1COCCN1C2=NC3=CC=CC=C3NC2=O
CNGA1	JYLLNENNVFLTDQ-UHFFFAOYSA-N	71.43	0.20056112110614777	4.496728897094727	0.0	133	0.0	CCN1CCN(CC1)C2=C(C=CC=C2Cl)NC(=O)COC3=CC=CC=C3
CNGA1	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.16406555473804474	4.22637414932251	0.0	133	0.0	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
CNGA1	CUBZPJNMBNGTFC-UHFFFAOYSA-N	24.5	0.14363710582256317	4.1966471672058105	0.001	133	0.3511494252873563	C=CCN1C2=C(C=C(C=C2)Br)C(=O)C1=O
CNGA1	OPHJVMLHMZPRDG-UHFFFAOYSA-N	174.42	0.15640713274478912	4.15566349029541	0.0	133	0.0	C1CSC(=N1)NC2=CC=CC3=CC=CC=C32
CNGA1	ATGPYVFIGXESRF-UHFFFAOYSA-N	71.82	0.1676337569952011	4.070023059844971	0.0	133	0.0	CC1C(=O)N(CCN1)CC2=CC=CC=C2.Br
CNGA1	SNTKXUVTTFWCCW-UHFFFAOYSA-N	134	0.14127680659294128	4.061823844909668	0.0	133	0.0	COC1C2C3CC4C2C(C5C4C3C51)(C6=CC=CC=C6)O
CNGA1	ZWHPURVKWJBWEF-UHFFFAOYSA-N	172	0.1793038696050644	4.0504984855651855	0.0	133	0.0	CC1=NC(=NC(=C1)C2=CC=CC=C2)N
CNGA1	RKTNHDSJVMYSPC-UHFFFAOYSA-N	200	0.1511649191379547	4.008080959320068	0.0	133	0.0	C1=CC(=CC=C1C2C(=C(SC(=C2C#N)N)N)C#N)Cl
CNGA1	CBVRCEFUXXJLSG-UHFFFAOYSA-N	177	0.15368635952472687	4.0070390701293945	0.0	133	0.0	C1=CC(=C2C(=C1)SC(=N2)N)F
CNGA1	OLNWTCOHKOKNJU-UHFFFAOYSA-N	188	0.18078821897506714	3.965693950653076	0.0	133	0.0	CC(C)OC(=O)C1=CC(=CC=C1)N
CNGA1	MTFWFBGIIMPBAE-UHFFFAOYSA-N	200	0.1344042271375656	3.8984806537628174	0.0	133	0.0	CC1=CC(=C2C(=C1)C(=O)C(=CN2C)C(=O)O)C
CNGA1	JLLOJGYTLRCYRE-UHFFFAOYSA-N	45.46	0.18050457537174225	3.850619316101074	0.001	133	0.3511494252873563	CC(=O)OC1=CC=CC=C1C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N
