target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
GRIK2	YXFXJSDMAFOQHZ-UHFFFAOYSA-N	119	0.12390930205583572	3.6442384719848633	0.0	131	0.0	COC(=O)C1=CC(=CC=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl
GRIK2	WRZFUOOSXMQGBT-JZJYNLBNSA-N	42	0.10985218733549118	3.5745689868927	0.001	131	0.3511494252873563	CC1C(N(C(CC1=NO)C2=CC=CC=C2)C)C3=CC=CC=C3
GRIK2	HLOOVTMYBRRYOP-UHFFFAOYSA-N	611	0.16050712764263153	3.5595390796661377	0.0	131	0.0	CC(C)(C)C1=CC(=C(C(=C1)N=CC2=CC=C(C=C2)F)O)C(C)(C)C
GRIK2	WEKALSXFBRPZOT-UHFFFAOYSA-N	60.3	0.14948080480098724	3.33296799659729	0.001	131	0.3511494252873563	CCOC1=C(C=C2C(NCCC2=C1)C3=CC=C(C=C3)Cl)OCC
GRIK2	IMPPSJRGMZYGJW-UHFFFAOYSA-N	83.84	0.15127263963222504	3.226296901702881	0.002	131	0.46712538226299694	COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC4=C(C=C3)OCO4)OC
GRIK2	LUNVCODEFDWGGZ-UHFFFAOYSA-N	130.51	0.1392417699098587	3.1723761558532715	0.004	131	0.5631336405529954	C1=COC(=C1)CNC(=S)NC2=CC=C(C=C2)[N+](=O)[O-]
GRIK2	CMAPJRSVMIIZKO-LXOGZNDWSA-N	12.7	0.15045210719108582	3.1606802940368652	0.003	131	0.5273302646720368	C1=C(SC=C1Br)C=NNC2=C(C=NC=C2Cl)Cl
GRIK2	HMAVFIILOJEMLV-UHFFFAOYSA-N	279	0.15638771653175354	3.1018614768981934	0.002	131	0.46712538226299694	C1=CC=C(C=C1)C(=O)NNC2=CC(=C(C=C2)Cl)Cl
GRIK2	ZOZHRQACKWQYOW-LSCVHKIXSA-N	56.1	0.12158447504043579	3.0967953205108643	0.003	131	0.5273302646720368	CN(C)C1=CC=C(C=C1)C=NNC2=C(C=C(C=N2)Cl)Cl
GRIK2	OXQRYRABXLSCLE-UHFFFAOYSA-N	9.87	0.14565512537956238	3.0178558826446533	0.004	131	0.5631336405529954	CCOC1=CC=C(C=C1)CN2CCN(CC2)CC(CN3C4=CC=CC=C4C5=CC=CC=C53)O
GRIK2	MMXGXIVVWSANMS-BOPFTXTBSA-N	136	0.116386778652668	3.0158474445343018	0.001	131	0.3511494252873563	CN(C)C1=CC=C(C=C1)C=NNC2=NC3=CC=CC=C3O2
GRIK2	PWKJVXKKVOSNIA-UHFFFAOYSA-N	70.6	0.12199866026639938	2.990021228790283	0.002	131	0.46712538226299694	C1=CC(=CN=C1)C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Cl
GRIK2	INOSMXBKABLUIL-KOOLHJLFSA-N	100	0.15904219448566437	2.9167227745056152	0.003	131	0.5273302646720368	CC1=CCC(=C)C2CC(C2CC1)(C)C
GRIK2	KATQKAIFLVFBEK-UHFFFAOYSA-N	26.7	0.12850826978683472	2.9144694805145264	0.008	131	0.6348051948051948	CCOC1=CC(=CC(=CNC2=CC=CC(=C2)C3=NC4=C(O3)C=C(C=C4)C)C1=O)Br
GRIK2	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.12763792276382446	2.8366825580596924	0.003	131	0.5273302646720368	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
