target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
MCOLN2	ZYBHGNPUGQFNPC-UHFFFAOYSA-N	49.47	0.11365529149770737	3.3366308212280273	0.003	120	0.5273302646720368	CC1=C(N=NN1C2=CC=C(C=C2)F)C3=NN=C(O3)C4=CC=CO4
MCOLN2	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	0.1372554749250412	3.1429409980773926	0.001	120	0.3511494252873563	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
MCOLN2	POADMRQYSLLTGQ-UHFFFAOYSA-N	45.16	0.16594825685024261	3.1369717121124268	0.004	120	0.5631336405529954	COC1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2O
MCOLN2	KJYYVKYSBVQXBM-NVNXTCNLSA-N	439	0.11571641266345978	2.9977972507476807	0.002	120	0.46712538226299694	CC(=NNC(=S)N)C12CC3CC(C1)CC(C3)C2
MCOLN2	GHRQDNKXGRCCNU-UHFFFAOYSA-N	200	0.13096129894256592	2.981135845184326	0.002	120	0.46712538226299694	C1=COC(=C1)CN2C(=CC(=O)NC2=O)N
MCOLN2	CMONWUQZZQGYMH-UHFFFAOYSA-N	266	0.1292160153388977	2.882967233657837	0.003	120	0.5273302646720368	COC1=CC(=C(C=C1)C=NC2=CC=C(C=C2)C34CC5CC(C3)CC(C5)C4)OC
MCOLN2	WWZSUDYCGREAGQ-UHFFFAOYSA-N	49.47	0.10161661356687546	2.8310019969940186	0.004	120	0.5631336405529954	CC(C)C1=CC=C(C=C1)CCC(=O)NC2=CN=CC=C2
MCOLN2	XNGCUIBXOYHSBO-UHFFFAOYSA-N	69.3	0.1260584592819214	2.821742296218872	0.004	120	0.5631336405529954	C1=CC=C2C(=C1)N=NN2C(=O)C3=CC(=CC=C3)Cl
MCOLN2	CUBZPJNMBNGTFC-UHFFFAOYSA-N	24.5	0.1302371323108673	2.719905138015747	0.011	120	0.6654455445544555	C=CCN1C2=C(C=C(C=C2)Br)C(=O)C1=O
MCOLN2	DOIFWZKNSQIYHB-UHFFFAOYSA-N	200	0.12643727660179138	2.718262195587158	0.003	120	0.5273302646720368	CC1=C(C=C(C=C1)Cl)NC(=O)CC#N
MCOLN2	RORBERQYRKOCAH-UHFFFAOYSA-N	35.5	0.14083565771579742	2.7045164108276367	0.004	120	0.5631336405529954	CCOC(=O)C1=C(SC2=C1CCCC2)NC(=O)COC3=CC=C(C=C3)CC(C(=O)OC)NC(=O)C4=CC=CC=C4
MCOLN2	ASIRBRKGCGBLEP-UHFFFAOYSA-O	69.3	0.13510966300964355	2.6643848419189453	0.009	120	0.6451196621304552	CC(=O)N1C=C(C2=CC=CC=C21)C3=CC=[NH+]C=C3
MCOLN2	JMJFOHCLGYJSFZ-UHFFFAOYSA-N	26.6	0.1784490942955017	2.631045341491699	0.009	120	0.6451196621304552	CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)SC3C(=O)N(C(=O)S3)C4=CC=C(C=C4)C
MCOLN2	AUZONCFQVSMFAP-UHFFFAOYSA-N	1.84	0.13388879597187042	2.605020523071289	0.013	120	0.6751955117307038	CCN(CC)C(=S)SSC(=S)N(CC)CC
MCOLN2	AVAFAFDOURGYKI-UHFFFAOYSA-N	67.46	0.11749032139778137	2.595407724380493	0.008	120	0.6348051948051948	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N
