target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
KCNS3	WPGZVYNYSZXJKT-UHFFFAOYSA-N	200	0.14776170253753662	4.747681140899658	0.0	327	0.0	C1CSC(=N1)NC(=O)C2=C(C=CC=C2F)F
KCNS3	YOYYKSJJIWTDRV-UHFFFAOYSA-N	200	0.1626748889684677	4.338886737823486	0.0	327	0.0	CC1=CC(=NO1)C(=O)N2CCC3=CC=CC=C32
KCNS3	WHXIMNYGBVKKCZ-UHFFFAOYSA-N	49.47	0.09143946319818497	4.081406593322754	0.0	327	0.0	CCCCNC(=O)C1=NC(=O)C2=CC=CC=C2N1
KCNS3	SVHOXNKIZQXFJZ-HIXSDJFHSA-N	243	0.14921456575393677	3.770247459411621	0.0	327	0.0	CC1=CC2=C(C=C1)N(C(C(=S)C2=C3SC(=C(S3)C(=O)C)C4=CC=CC=C4)(C)C)C(=O)C
KCNS3	IQORSSDZRQOMLE-UHFFFAOYSA-N	200	0.11949218064546585	3.7042949199676514	0.0	327	0.0	CC(C)(C)C1=CC=C(C=C1)N2C(=O)CC(=O)NC2=O
KCNS3	BPEGJWRSRHCHSN-UHFFFAOYSA-N	1	0.13179029524326324	3.6362035274505615	0.0	327	0.0	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
KCNS3	LUNVCODEFDWGGZ-UHFFFAOYSA-N	130.51	0.1295892894268036	3.561917781829834	0.0	327	0.0	C1=COC(=C1)CNC(=S)NC2=CC=C(C=C2)[N+](=O)[O-]
KCNS3	QPNAIYZCIYSUIB-UHFFFAOYSA-N	116	0.14835865795612335	3.5395498275756836	0.0	327	0.0	C1=CC=C(C=C1)C2=CN=C3N(C2=O)C=CS3
KCNS3	LKWFXGHZCLYSJJ-UHFFFAOYSA-N	134.34	0.12758620083332062	3.4665417671203613	0.001	327	0.20782312925170068	C1=CC=NC(=C1)CNC(=O)C2=CC=C(S2)Br
KCNS3	XNILKVADCMYCQT-UHFFFAOYSA-N	200	0.11653434485197067	3.457789421081543	0.0	327	0.0	CC1=CC2=C(C=C1)N=CN=C2Cl
KCNS3	SNTKXUVTTFWCCW-UHFFFAOYSA-N	134	0.12484568357467651	3.3393542766571045	0.001	327	0.20782312925170068	COC1C2C3CC4C2C(C5C4C3C51)(C6=CC=CC=C6)O
KCNS3	CEBMGSOURCAPDC-UHFFFAOYSA-N	27.3	0.16983306407928467	3.309692144393921	0.0	327	0.0	C1=CC2=C(C=C1N)N=C(O2)C3=C(C=CC(=C3)Cl)Cl
KCNS3	MJIHNNLFOKEZEW-UHFFFAOYSA-N	556	0.17900888621807098	3.3016090393066406	0.0	327	0.0	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
KCNS3	JBAVJDRYNBQMAN-UHFFFAOYSA-N	153.85	0.18463318049907684	3.2989230155944824	0.001	327	0.20782312925170068	CC1(CN=C(S1)NC2=NC3=CC=CC=C3S2)C
KCNS3	PFXDCKOSCNEUJF-RKLIXYOZSA-N	32.26	0.1442345231771469	3.295238494873047	0.0	327	0.0	CN(C)C=CC=C1CCC2=CC=CC=C2C1=O
