target_id	inchikey	dose	mean_absz	z_exec	emp_p	n_task_strains	q	smiles
OR2T12	WWGHWYVWPOSYTN-UHFFFAOYSA-N	48.8	0.17772845923900604	4.214911937713623	0.0	32	0.0	CC1=NC(=C2C3=C(CCCC3)SC2=N1)NCC4=CC=CS4
OR2T12	GKIRPKYJQBWNGO-OCEACIFDSA-N	4.22	0.13666564226150513	3.678208589553833	0.001	32	0.19558258642765686	CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
OR2T12	HSKHEMGXJUDSBK-UHFFFAOYSA-N	16	0.1623309850692749	3.4763219356536865	0.005	32	0.38651315789473684	C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=CC(=CC=C3)F
OR2T12	NNLFMLKGPMHEAF-UHFFFAOYSA-N	22.4	0.14867594838142395	3.343503475189209	0.0	32	0.0	C1=CC(=C(C=C1NC=C2C=C(C=C(C2=O)Br)Br)Cl)F
OR2T12	SWFPUENXLOVPMV-UHFFFAOYSA-N	80.6	0.16661065816879272	3.31646466255188	0.005	32	0.38651315789473684	COC1=CC=CC(=CNCCCNC=C2C=CC=C(C2=O)OC)C1=O
OR2T12	DHZBEENLJMYSHQ-UHFFFAOYSA-N	155.45	0.18989145755767822	3.2990353107452393	0.006	32	0.40951742627345844	CC12C3CCC(C1(C(=O)OC2=O)C)O3
OR2T12	RGHPXFUJDAJHBZ-UHFFFAOYSA-N	66.6	0.1685602068901062	3.1539714336395264	0.001	32	0.19558258642765686	CC1=CC(=C(C=C1)C)CSC2=NC3=C(N2C)NC=NC3=O
OR2T12	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.22440776228904724	3.141850471496582	0.005	32	0.38651315789473684	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
OR2T12	YHXZJZATPFHLGR-SNAWJCMRSA-N	64.1	0.2569716274738312	3.052736282348633	0.005	32	0.38651315789473684	C1=CN=C(N=C1)NC(=O)C=CC2=CC=CS2
OR2T12	SYFJSJZFNCQBDL-UHFFFAOYSA-N	72.5	0.17619533836841583	3.040022850036621	0.003	32	0.32045454545454544	C1=CC=C(C=C1)CNCC(=O)N2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
OR2T12	UYDZAQUMTHQJCC-UHFFFAOYSA-N	115	0.1653527021408081	2.8847744464874268	0.003	32	0.32045454545454544	CCNC(=O)C1=C(C2=CC=CC=C2NC1=O)O
OR2T12	BWQZSJGKWVZDQV-UHFFFAOYSA-N	25.81	0.1696445494890213	2.8295106887817383	0.006	32	0.40951742627345844	C1=CC=C(C(=C1)C2=NC3=CC=CC=C3S2)NC=C4C=C(C=CC4=O)Br
OR2T12	KNMBHGSZDTURIO-UHFFFAOYSA-N	42.78	0.1820404827594757	2.8211801052093506	0.004	32	0.3564760793465578	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
OR2T12	IYLZJDSCZSTABQ-UHFFFAOYSA-N	203	0.13190099596977234	2.697772264480591	0.006	32	0.40951742627345844	CCCCCN(C(=O)NC(=O)NC1=CC=CC=C1Cl)S(=O)(=O)C2=CC=C(C=C2)C
OR2T12	HLNBBMIFCTUHKV-UHFFFAOYSA-N	86.7	0.13549865782260895	2.675875186920166	0.006	32	0.40951742627345844	CCCN1C2=CC=CC=C2N=C1N=CC3=C4C(=C(C=C3)OC)C=CC=C4OC
