target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
ADCYAP1R1	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.02307736813385902	0.004	0.5339731285988484	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
ADCYAP1R1	XHEFDIBZLJXQHF-UHFFFAOYSA-N	1.16	0.020251551868769587	0.011	0.6772097402388386	C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
ADCYAP1R1	HFWWPJGYQOWDNB-MFOYZWKCSA-N	191	0.019822863110880586	0.009	0.6494849736827212	COC1=C(C=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)Br)O
ADCYAP1R1	YZXBAPSDXZZRGB-UHFFFAOYSA-N	100	0.0194422793303838	0.008	0.6327171980316751	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
ADCYAP1R1	LFVYDUHHPGRLAT-UHFFFAOYSA-N	77.3	0.01939288811028904	0.006	0.5941059225512528	C1=CC(=CC=C1N)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
ADCYAP1R1	ADGDUIDDAMQKAG-UHFFFAOYSA-N	53.7	0.018293787946371234	0.019	0.7489823574269874	C1=CC=C2C(=C1)N=CC(=N2)C3=CC=CS3
ADCYAP1R1	QRWVOJLTHSRPOA-UHFFFAOYSA-N	8.29	0.018248064841912895	0.013	0.7012571742839818	C=CCNC(=O)NCC=C
ADCYAP1R1	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.018037412968501643	0.008	0.6327171980316751	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
ADCYAP1R1	IPEBZBGNMZQELD-UHFFFAOYSA-N	202	0.01764084828862365	0.017	0.7355584336259163	C1=CC=C(C(=C1)C(=O)ON=C(C2=NON=C2N)N)Cl
ADCYAP1R1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.017610061636177544	0.013	0.7012571742839818	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
ADCYAP1R1	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.01757331443413171	0.012	0.6894826964671954	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
ADCYAP1R1	HKDOQQYMNWPUBN-UHFFFAOYSA-N	61.7	0.017547391593715923	0.018	0.7426628412412499	CCCCCCCN1C=NC2=CC=CC=C2C1=O
ADCYAP1R1	MYLISZOVCXSGTF-PTNGSMBKSA-N	149	0.01740019285423121	0.019	0.7489823574269874	CC1=CC=C(C=C1)C=C(C#N)C(=O)NC(=O)OC2=CC=CC=C2
ADCYAP1R1	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.017345393782484057	0.021	0.7618935837245696	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
ADCYAP1R1	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.017344561692840238	0.01	0.6644404300776433	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
