target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CACNA1A	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.1137965784423345	0.0	0.0	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
CACNA1A	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.10498401370860415	0.0	0.0	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
CACNA1A	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.10252434270034283	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
CACNA1A	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.09915610574905366	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
CACNA1A	VDDKPPDLMPOCRY-UHFFFAOYSA-N	454	0.09857926419806802	0.002	0.41835730300213264	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CS5)Br
CACNA1A	YLLFUILNISGLHO-UHFFFAOYSA-N	78.7	0.0975311548669453	0.0	0.0	COC1=CC=CC2=C1C(=O)CC(O2)C3=CC=CC=C3
CACNA1A	AVAFAFDOURGYKI-UHFFFAOYSA-N	67.46	0.09573681945645524	0.001	0.29796307836111546	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N
CACNA1A	SVJMLYUFVDMUHP-UHFFFAOYSA-N	82	0.09326176543306983	0.0	0.0	CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
CACNA1A	DGQLVPJVXFOQEV-NGOCYOHBSA-N	40.6	0.092749314133599	0.0	0.0	CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
CACNA1A	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.09218703499591102	0.001	0.29796307836111546	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
CACNA1A	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.09125384865126901	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
CACNA1A	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.09041034834696005	0.001	0.29796307836111546	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
CACNA1A	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.08859186250617629	0.001	0.29796307836111546	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
CACNA1A	FQLPGRTTWAZLNW-UHFFFAOYSA-N	27.3	0.08652048262898915	0.002	0.41835730300213264	C1CCCC(CC1)N2CCN(CC2)CC3=CC=C(C=C3)Cl
CACNA1A	MYSNZENUPZGNLK-UHFFFAOYSA-N	52.4	0.08631623913159464	0.0	0.0	CN1CCC2=CC(=C(C3=C2C1=C(C4=CC(=C(C=C43)OC)OC)C(=O)C5=CC=CC=C5)OC)OC
