target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CACNA1B	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.07937479826021773	0.0	0.0	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
CACNA1B	JZJMXYOTSVLHAA-UHFFFAOYSA-N	190	0.0683700797211541	0.001	0.29796307836111546	CC1=CC2=C(C=C1)OC(=N2)C3=CC(=CC=C3)NC(=O)C4=CC(=CN=C4)Br
CACNA1B	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.06832408736249948	0.003	0.4880182862002977	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
CACNA1B	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.06813451388667849	0.0	0.0	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
CACNA1B	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.0673914629199196	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
CACNA1B	SVJMLYUFVDMUHP-UHFFFAOYSA-N	82	0.06727838578327847	0.0	0.0	CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
CACNA1B	NZLABGLSVFGMOH-UHFFFAOYSA-N	6.32	0.06456851401649379	0.001	0.29796307836111546	CN1C2=C(C(C3=C(N2)C4=CC=CC=C4C3=O)C5=CC(=CC=C5)Br)C(=O)NC1=O
CACNA1B	FIDFPPCQIWKPRK-UHFFFAOYSA-N	19.48	0.06438526966749364	0.0	0.0	C1=CC=C(C(=C1)NC(=O)CSC2=CC=C(C=C2)Br)O
CACNA1B	JWUBBDSIWDLEOM-DTOXIADCSA-N	10	0.06387502132662329	0.002	0.41835730300213264	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
CACNA1B	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.06363678465130256	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
CACNA1B	MYSNZENUPZGNLK-UHFFFAOYSA-N	52.4	0.06352930559188297	0.0	0.0	CN1CCC2=CC(=C(C3=C2C1=C(C4=CC(=C(C=C43)OC)OC)C(=O)C5=CC=CC=C5)OC)OC
CACNA1B	WDMVDEWECALUPX-UHFFFAOYSA-N	15.64	0.06342664183183615	0.001	0.29796307836111546	CCC1=CC=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)Br)OC
CACNA1B	DGIRKZZBAKFESB-UHFFFAOYSA-N	49.47	0.06322928372731686	0.003	0.4880182862002977	COC1=CC=C(C=C1)CC2=NN3C(=NN=C3S2)C4=CC=CC=N4
CACNA1B	YLLFUILNISGLHO-UHFFFAOYSA-N	78.7	0.06269475747648419	0.002	0.41835730300213264	COC1=CC=CC2=C1C(=O)CC(O2)C3=CC=CC=C3
CACNA1B	FQLPGRTTWAZLNW-UHFFFAOYSA-N	27.3	0.06193101157685442	0.001	0.29796307836111546	C1CCCC(CC1)N2CCN(CC2)CC3=CC=C(C=C3)Cl
